factor,IC,lo,hi,n,top10_abs%,top10_exc%,IC24,IC25,IC26
nh252,0.05720727681106864,-0.016081748948950907,0.12561254004355207,23,0.824553122568891,0.22868490028287128,,,
upratio63,0.055577388870975464,0.013737695906747732,0.09856282666847957,23,1.3877703790514009,0.7973259072802908,,,
mom12,0.05267847416337195,0.012003086492797159,0.09289838333946265,23,1.9578892046576883,1.3674447328865786,,,
max5,0.041197608441720886,-0.02634747193857315,0.11039305743930274,23,0.6691408844987423,0.07869641272763211,,,
lv63,0.041152071233445636,-0.04273083154062451,0.1260903175428668,23,0.6423685922194526,0.05192412044834252,,,
size_amt,0.0375534304145258,0.015015536363331364,0.0619603642603654,23,1.8433325831567355,1.2528881113856252,,,
mom_1m,0.0027353453232067467,-0.0460064190646722,0.04519728183543814,23,0.062302280990444256,-0.5281421907806659,,,
fip,-0.0050237310204106714,-0.03123556105381128,0.02047856880605393,23,-1.7238494276115717,-2.314293899382682,,,
