factor,d_pp,ci_lo,ci_hi,overlap
vol_cv,-0.08960478358727612,-1.0736993417410705,0.9829940330508615,0.49431372549019614
dd63,-0.3547200932396823,-1.2684224732910485,0.567338319056379,0.4990196078431373
dd252,-0.32687969179331516,-1.171516341814132,0.5270808425295875,0.5696078431372549
rv63,-1.5313025679371517,-3.654588895499537,0.70651413009343,0.3119607843137255
dtc_chg,-0.44733033693627394,-1.4082841794367242,0.49954150138543857,0.41294117647058826
upratio126,-0.1192916211991449,-0.6628846798668951,0.3826366982748333,0.7821568627450981
