factor,sign,n,meanIC,ci95_lo,ci95_hi,bonf_lo,bonf_hi,coverage
accr,-1,108,0.033723054891954034,0.010550224050094436,0.057683838398251704,0.0029318698487686245,0.06546109261026901,0.7177875974457938
cfo_at,1,108,0.03332266606809068,0.007150490545153584,0.05807449890315843,-0.0021036987691409347,0.06740478712771342,0.7631320478984798
roa,1,108,0.03764655110698792,0.008146460183633263,0.06901754747227347,-0.0017057159288096707,0.07995455756808514,0.7335220990534458
droa,1,108,0.015604253669764638,-0.0024294248818235156,0.03256132267812217,-0.009303763529582008,0.03868258364932294,0.6990086827662956
dopm,1,108,0.002838965092195052,-0.01760046920826613,0.021612493871154652,-0.024356166043795438,0.028691605294115484,0.49105764938198465
snbm,1,108,0.03955790651485973,0.016974827408500603,0.06269197641772173,0.008039783839877265,0.07029552599282864,0.6940161449858969
