t8,spx_above,vix,breadth,spx_r20,base,uni,spx
20240617,1.0,12.75,0.6135029354207436,0.03204814393978794,0.04476594181643323,0.07387117767948022,0.021018674434113205
20240625,1.0,12.84000015258789,0.6099869451697127,0.031025121623421414,0.010802129541654106,0.04998870048438262,-0.0077102962684286735
20240702,1.0,12.029999732971191,0.620414673046252,0.042701644291806895,0.05072529313696049,0.07170335231642935,0.0024124188607228536
20240710,1.0,12.850000381469727,0.6358142493638677,0.05094773628464355,-0.03426854927313883,-0.024898671126206244,-0.07710633364788133
20240717,1.0,14.479999542236328,0.7573208722741434,0.021018674434113205,4.008258761866612e-05,-0.06172007946845355,-0.023810599367729002
20240724,1.0,18.040000915527344,0.7010277172220492,-0.0077102962684286735,0.05061363282370929,-0.002580778653128315,0.03569478140872473
20240731,1.0,16.360000610351562,0.7473015873015874,0.0024124188607228536,0.04378203888474487,-0.02050967152274158,0.012654215374984457
20240807,1.0,27.850000381469727,0.5747931253978358,-0.07710633364788133,0.07459410963748174,0.04648663276522468,0.05844988099817283
20240814,1.0,16.190000534057617,0.632409793814433,-0.023810599367729002,0.020159134465946797,0.021165240001986024,0.0257643254235711
20240821,1.0,16.270000457763672,0.6819192882109946,0.03569478140872473,0.0330440196744399,0.02661327108176714,0.016508186030648853
20240828,1.0,17.110000610351562,0.6821508113267579,0.012654215374984457,0.016251769067918725,0.016543152991183724,0.02739359902416738
20240905,1.0,19.899999618530273,0.6469833119383825,0.05844988099817283,0.038936522504419716,0.0257473817710249,0.03571054665679596
20240912,1.0,17.06999969482422,0.6327900287631831,0.0257643254235711,0.03191625433128551,0.026547988743625062,0.0329338725716215
20240919,1.0,16.329999923706055,0.7149651236525048,0.016508186030648853,0.03595223411504312,0.01300330746529261,0.02237279126200109
20240926,1.0,15.369999885559082,0.6968085106382979,0.02739359902416738,0.021021478780311326,0.0032868929873371465,0.011224646067766075
20241003,1.0,20.489999771118164,0.6787484510532837,0.03571054665679596,0.009835113716986327,0.0015567790412276221,0.0009667213975750322
20241010,1.0,20.93000030517578,0.6745414982903326,0.0329338725716215,0.07112029448805814,0.056354648641052024,0.03339941687218517
20241017,1.0,19.110000610351562,0.7094972067039106,0.02237279126200109,0.03000647506305449,0.006933553322009555,0.01843708913512465
20241024,1.0,19.079999923706055,0.6721003134796238,0.011224646067766075,0.09650998552085471,0.033265178817277495,0.023899044197914776
20241031,1.0,23.15999984741211,0.6354199433784209,0.0009667213975750322,0.14360426428397977,0.08059902975760574,0.057301295482098835
20241107,1.0,15.199999809265137,0.713314797652147,0.03339941687218517,0.06923670707838812,0.016072248367863366,0.019616266253595027
20241114,1.0,14.3100004196167,0.6705521472392638,0.01843708913512465,0.03421027787332705,0.016523383841185377,0.017131788671935988
20241121,1.0,16.8700008392334,0.6798659762412428,0.023899044197914776,-0.040250897691070826,-0.022763183416628693,-0.00300230863473383
20241129,1.0,13.510000228881836,0.7198198198198198,0.057301295482098835,-0.07945760129896651,-0.05531370513514559,-0.020794436663986393
20241206,1.0,12.770000457763672,0.6994911703082909,0.019616266253595027,-0.0696114905145483,-0.040633042871609175,-0.029758981751838554
20241213,1.0,13.8100004196167,0.6697744360902256,0.017131788671935988,0.005088302794268584,-0.02501804326787631,-0.016720903194736958
20241220,1.0,18.360000610351562,0.5755761747979646,-0.00300230863473383,0.0821977869637528,0.03278301339219698,0.03167503143528916
20241230,1.0,17.399999618530273,0.5617283950617284,-0.020794436663986393,0.026088992110805245,0.031094110243054376,0.027802886451838926
20250107,1.0,17.81999969482422,0.5724177726485863,-0.029758981751838554,0.04188972462083001,0.016134735917043445,0.029537850613133187
20250115,1.0,16.1200008392334,0.5856562137049942,-0.016720903194736958,0.041853313456298585,0.017098334709964105,0.02775834653490694
20250123,1.0,15.020000457763672,0.6266862170087977,0.03167503143528916,-0.08940212575479393,-0.02774409390467329,-0.017255284005784688
20250130,1.0,15.84000015258789,0.6380530973451327,0.027802886451838926,-0.08443473595513762,-0.05195460395713256,-0.019217041093616438
20250206,1.0,15.5,0.6245508982035928,0.029537850613133187,-0.20598889345923585,-0.07538176388519321,-0.051510813216727236
20250213,1.0,15.100000381469727,0.6264333132166566,0.02775834653490694,-0.17311363852565848,-0.09067293575960501,-0.077861724640786
20250221,1.0,18.209999084472656,0.567649741562785,-0.017255284005784688,-0.10473214119951617,-0.05513458497757179,-0.057469210037604856
20250228,1.0,19.6299991607666,0.559425603421937,-0.019217041093616438,-0.10734353434579189,-0.05766892768702714,-0.06273575591464442
20250307,1.0,23.3700008392334,0.48756524408965307,-0.051510813216727236,-0.14959299784865066,-0.12467258093132,-0.12064054861614726
20250314,0.0,21.770000457763672,0.4209717097170972,-0.077861724640786,-0.08020255531261639,-0.09056369562919366,-0.04887090144398232
20250321,0.0,19.280000686645508,0.43415384615384617,-0.057469210037604856,-0.10482637331328448,-0.09981818318288477,-0.08987286557447327
20250328,0.0,21.649999618530273,0.3976918278228322,-0.06273575591464442,0.006980440952620079,-0.026399999608595497,-0.009351460856806715
20250404,0.0,45.310001373291016,0.20068879148403257,-0.12064054861614726,0.16835603354749787,0.09588493546854111,0.11357719937688837
20250411,0.0,37.560001373291016,0.22562844880441446,-0.04887090144398232,0.08421895984743602,0.11960209341026566,0.08965090733830294
20250421,0.0,33.81999969482422,0.22383004926108374,-0.08987286557447327,0.13234512996076148,0.14032577812968386,0.1561397138241465
20250428,0.0,25.149999618530273,0.33444816053511706,-0.009351460856806715,0.07113883207584584,0.059355663919911206,0.07104499915215912
20250505,0.0,23.639999389648438,0.38020351526364476,0.11357719937688837,0.03892021968675101,0.045567121880464266,0.056631632033866675
20250512,1.0,18.389999389648438,0.4875156054931336,0.08965090733830294,0.053621131900828505,0.02649825956889681,0.033301470201817285
20250519,1.0,18.139999389648438,0.5122556624263109,0.1561397138241465,9.040279420586827e-05,-0.004485165782686296,0.003206136708431284
