anchor,ic,q1_q10
20240506,-0.04915484273500763,2.184699819949197
20240513,0.0389020664910051,-1.382655841465135
20240520,-0.0990310570295086,3.636591521905521
20240528,-0.060828700939429256,3.4064105258829707
20240604,-0.03370635384699366,3.172972567886869
20240611,0.061609076050991016,-1.0868565860054573
20240618,0.08556535654728935,-1.8908365852388838
20240626,0.11935065083679701,-4.643229492569153
20240703,0.02870195898888331,-0.5157023758266419
20240711,-0.10046689746529189,5.690268421270196
20240718,-0.07697116901569531,4.243421894611627
20240725,-0.09669103503698405,5.63137250899531
20240801,-0.023562979000557566,0.5181782228274806
20240808,-0.03215761646811917,0.24992743961557073
20240815,0.04543627615081372,-1.5540912892363612
20240822,-0.019669510961007098,0.46840190112201685
20240829,-0.06052814707168081,2.1990022747044153
20240906,-0.037369202287236405,2.2669449090243834
20240913,-0.11157421674095419,2.5205662535730604
20240920,-0.01950202595153742,-1.677311189724779
20240927,0.07081966575417031,-4.801749460922595
20241004,0.06263926643007972,-4.948867393254375
20241011,0.057496199046654074,-3.7332809556860163
20241018,-0.0664900694631226,2.353428056904049
20241025,-0.02991614786358208,0.964008197695272
20241101,-0.0038665201728853025,3.6179614380467524
20241108,0.010143675325481724,3.5433656750632148
20241115,0.07759845709652563,0.8988886120126451
20241122,0.0028533660982656946,-2.4218252002257925
20241202,-0.0064978139470047895,-1.8556374352942953
20241209,0.011361886015860766,-1.3983926145292154
20241216,-0.06682727269388199,2.550455389716581
20241223,-0.03272557397088227,2.9721856987719653
20241231,-0.04444248090752154,2.2438554374476025
20250108,-0.041438587239707836,1.577377082156176
20250116,0.0052108375749451786,-0.3045218045692568
20250124,-0.07732484796661007,4.58724821844814
20250131,-0.10187843761813156,4.573444183933266
20250207,-0.14983693685133623,6.052905564099666
20250214,-0.07670140119115569,2.078277513381538
20250224,-0.03794421488224508,-0.49698360742070136
20250303,-0.08108920893950326,2.6787724765633847
20250310,-0.04430369342813753,2.946138203989858
20250317,-0.11386873051223191,3.6379717957360183
20250324,-0.0753450811763606,2.019423752201478
20250331,0.06047967239495818,-2.6541610116673926
20250407,0.02731784005861921,-2.175640890065959
20250414,0.014573546852009796,-1.6872562336155237
20250422,-0.005254095383874773,-0.11849298108242146
20250429,-0.04827682119130637,0.08619853674074265
20250506,0.041922413678536885,-3.940457267539258
20250513,0.10525533386507724,-3.896057631166266
20250520,0.013343944591427223,0.5480221269380312
20250528,-0.0008640111879526025,2.0493125852625282
20250604,-0.058676440174522136,3.6017083524621767
20250611,-0.06605534835503894,0.5307704080868006
20250618,0.0386089936817485,-6.003637153924222
20250626,0.019037546705478508,-7.214504414965048
20250703,0.030284567487704996,-3.874336879384345
20250711,0.024382562484407216,-5.151070920788993
20250718,-0.014023797849531434,-1.2199142706584676
20250725,-0.021288668548180907,0.028212971884368065
20250801,0.012306562984267461,-0.44764348298084594
20250808,0.04362889436010333,-2.7860359618869928
20250815,0.038042675603781675,-3.936420543990329
20250822,0.09831427014385094,-5.7343526392570965
20250829,0.10166215491962259,-7.117919939479374
20250908,0.1307986283963951,-11.92299222195666
20250915,0.1596388816609757,-13.68959606425709
20250922,0.12091176909455643,-11.178694053524795
20250929,0.08929027825341383,-8.8694254946688
20251006,0.044133852400926134,-5.055233308749795
20251013,-0.05350584995482366,0.15375387284252348
20251020,-0.058883319087180745,1.2768997328048883
20251027,-0.026413204852291174,-1.4260985614015702
20251103,-0.06158678951382058,-0.2760365040461288
20251110,0.01181913797743764,-5.729592992905665
20251117,-0.046773859915294896,0.7690568203762231
20251124,-0.045363433975321776,0.07852617863834191
20251202,-0.009392180610324421,-1.1524780253545905
20251209,-0.06561145049328863,1.1412858786242521
20251216,0.013722035817102766,-4.852076747851735
20251223,0.022006025409430544,-5.611589758893571
20251231,-0.02827459623489069,-3.5650125305151943
20260108,-0.1070241541902531,-0.01921332675937394
20260115,-0.11706375406211997,1.876162319204443
20260123,-0.10640022662780609,3.6753323239146005
20260130,-0.01955201749967597,-3.6112064352338753
20260206,0.07522483945379185,-5.133774164346053
20260213,0.07699539831089355,-5.910724641825954
20260223,-0.018482642932463093,0.3718171613140697
20260302,-0.1108508350040903,6.13163156544452
20260309,-0.04442283118877574,3.8919655556487394
20260316,0.006403640406017867,-0.037222171626526135
20260323,0.07714332093220362,-3.5879633339388928
20260330,0.0896518650052669,-5.402916350556793
20260407,0.05757552159474137,-6.941126497420392
20260414,0.06757497618049396,-6.0547171662154815
20260421,-0.0065229898863413275,-1.3222807696296586
20260428,0.04294864045532921,-6.34529890512262
20260505,-0.05277134537238642,-0.38527004526834024
20260512,-0.181269733050953,10.323286678854341
20260519,0.001895411811097352,0.5268613047053277
20260527,-0.03643324657965415,2.5172542973845244
20260603,-0.005943968093818124,1.7056645833583537
20260610,0.023452627193139043,-2.681524349317815
20260617,-0.08134302069499955,5.826470897096602
20260625,-0.16178685221724282,7.09099158159561
20260702,-0.1995810146267194,7.7540807118182995
20260710,-0.05847104012065448,1.5039983054009103
20260717,0.05539615516116971,-4.2968916287302825
20260724,0.060114170612325823,-4.784806256500981
20260731,0.046984388633965805,-3.7644063476154446
20260807,-0.03464526312458174,2.120965679906444
