target,group,p_group,base,delta,lo95,hi95,lob,hib,ratio,mean_ret,n_avg,n_anchor
W60: 60일 +50%↑,mom12 Q5(상위20%),6.692688898013044,3.882400430350884,2.81028846766216,1.8536360734793755,3.715750880924641,1.2123792088699632,4.327858290970304,1.7238533268471155,4.882868169026494,636.8613861386139,101
W60: 60일 +50%↑,mom12 Q1(하위20%),5.868231181861554,3.882400430350884,1.9858307515106712,1.4330283138051765,2.522076799818029,1.1556656344649743,2.858008759471702,1.511495603592645,-0.4559340643366428,636.5049504950495,101
W60: 60일 +50%↑,mom1 Q5(상위20%),6.1518233842396,3.882400430350884,2.2694229538887183,1.3030677918490485,3.3311756824071765,0.7724092207938235,4.045725618360165,1.5845411864647898,2.4576469312617903,676.940594059406,101
W60: 60일 +50%↑,mom1 Q1(하위20%),5.926803391215639,3.882400430350884,2.044402960864755,1.1904481904312973,2.985002070091937,0.7656334916071439,3.830793509367725,1.5265822002497527,1.3436758309802668,675.9108910891089,101
W60: 60일 +50%↑,upratio63 Q5(상위20%),3.2260699969342514,3.882400430350884,-0.6563304334166333,-1.5475218402696655,0.3049014192022041,-2.1216451422265954,0.9040535953942053,0.8309472592559664,3.715654302126934,670.940594059406,101
W60: 60일 +50%↑,upratio63 Q1(하위20%),4.505438414060026,3.882400430350884,0.6230379837091419,-0.0643387261919861,1.3191533096353498,-0.4380737699789529,1.7214836954418533,1.1604775176817177,-0.7418078817755762,672.7821782178218,101
W60: 60일 +50%↑,size_amt Q5(상위20%),3.6575267914121565,3.882400430350884,-0.2248736389387273,-0.7070771900245827,0.29014725451864715,-1.0090434671891542,0.595292279535099,0.9420787105882317,4.462258160582794,677.4356435643564,101
W60: 60일 +50%↑,size_amt Q1(하위20%),3.538066287175248,3.882400430350884,-0.344334143175636,-0.7371942039435769,0.07725162753165948,-0.9513450296461985,0.37640803806971596,0.9113089570865014,1.039995026802607,675.7326732673267,101
W60: 60일 +50%↑,rv63 Q5(상위20%),10.937480758632287,3.882400430350884,7.0550803282814085,5.1988810207333,9.025508608746119,4.244170865258571,10.207636339144262,2.817195432271209,0.5297784669139405,677.4059405940594,101
W60: 60일 +50%↑,rv63 Q1(하위20%),0.04444807769933332,3.882400430350884,-3.83795235265155,-4.723903833974845,-2.87676301097707,-5.263093096232684,-2.149261295716659,0.011448607246140293,2.373969162875042,674.7821782178218,101
