anchor,base_excess,ins_all_nbuy,ins_od_nbuy,ins_od_npr,ins_od_buyusd,earn_pred,mcap,d_ins_od_nbuy_tilt,d_ins_od_npr_tilt,d_ins_cluster_bin,d_ins_sell_excl,d_earn_excl,d_earn_tilt,d_size_mcap,spx_above_200,vix
20240409,-13.498217298289864,0.016470533398145734,0.030037897407762457,0.05549468649779563,0.012211767662602024,0.06683975361566334,0.007256147288767189,,,,,,,,1,14.979999542236328
20240416,-10.528085605080864,0.03847516706418661,0.05373549944255165,0.08645345779784482,-0.04732811232537634,0.055287339778753664,-0.05255381420153291,,,,,,,,1,18.399999618530273
20240423,-9.395770365739054,0.013583732662482063,0.012094233482572244,0.027712291043257956,0.008325872572735087,0.04335688019656205,-0.03095649325078248,,,,,,,,1,15.6899995803833
20240430,-11.97415573926532,0.0013071956408869834,-0.005858609473693265,-0.0017274511816155597,-0.04690951933570992,0.027130401055330947,-0.0017456664732252273,,,,,,,,1,15.649999618530273
20240507,2.116770453860082,0.014073498271875196,0.008753472059408499,0.022799168601424353,0.018774484532280537,-0.006747773557835077,0.06322697660924703,1.0453977985264373,1.0453977985264373,-0.6166655237597513,-1.4342266829082801,0.37606035272918087,0.438383170597377,0.8430669251120237,1,13.229999542236328
20240514,1.7036055181348215,-0.010294941215218937,-0.010480755909608569,-0.02636345060783836,-0.035302518565940987,-0.00607865086725343,0.07866326877365067,-0.06751323078571067,0.38484974186722387,0.023860848497490046,0.45485993039967854,-0.24068056587049136,0.25715970596770776,0.7162062339580502,1,13.420000076293945
20240521,1.0092432476560025,-0.010667885704520352,-0.011750763776549204,-0.031014591665895035,-0.08358510100274584,-0.007519069867069474,0.18396004824936005,-0.12022463003163453,-0.2226691287268663,-0.03728053710956372,1.5141608538267082,-0.09247495487620452,0.23566811180696437,-0.2000764956692623,1,11.859999656677246
20240529,0.34993608523363245,0.0009839305958281575,0.00941433351483057,0.0007036123466607306,-0.02709733258085367,-0.022650853204124667,0.1273288138788113,0.058826230033637905,0.04480886572359628,0.24444276992416888,1.2551429657292157,0.09972050042540131,0.15832790692322812,-0.05596192107620128,1,14.279999732971191
20240605,1.5856442795263739,-0.008091329188367101,-0.0037561608058410663,-0.010593909739275695,-0.07400463814650228,-0.006872547750024241,0.1770439512508493,-0.2049332140767259,0.22004504545453463,-0.26220626040414824,1.9841289644995586,0.0,-0.48633975371519383,-1.1891311988366515,1,12.630000114440918
20240612,-0.8222425779693694,0.035227551245812394,0.04467877373470356,0.06546015390317225,-0.011751122562912775,0.010980856322762146,-0.01772359483869722,0.6565933115558185,0.4302654235534567,0.3766826197263918,1.1971923476603585,0.1765061303030075,-0.49529057817632954,1.1168976678506002,1,12.039999961853027
20240620,-3.381841218560247,0.09405168977078422,0.099936947049532,0.11379752901356208,-0.011790952273744397,0.029204937025479265,-0.24295267950370028,0.6851185032287093,1.178836300827766,0.07872975630131597,2.867175173305811,0.0755709651510228,2.737177929212034,0.6143509130627701,1,13.279999732971191
20240627,-2.8823782251109584,0.10964546871885013,0.11679619767524237,0.12900571856959153,0.015035472055688918,0.0522669593424799,-0.32160545323703765,0.5855764364789913,1.5437914677106992,0.024360501919264838,1.6084753409648989,-1.5657138815657563,4.1439039652831315,-0.676533060402857,1,12.239999771118164
20240705,-2.477332255304777,0.060574903389861705,0.07094803234641207,0.07750186392686144,-0.008309523742171086,0.14256372492265668,-0.14791726153171744,1.6680137230345047,0.9951159453556596,1.8106587719809948,1.5783749459432375,-1.9630941881799413,2.3961608142826822,0.16460699763176284,1,12.479999542236328
20240712,2.516893798002945,-0.0002416378755805892,0.004484654507168842,-0.006758183317290088,0.02798265660394989,0.12433428023894323,0.10589177239195251,-0.2967123225446497,-0.2331398844205329,-0.32030172796319173,-0.4108191154088014,-2.264423524882311,0.8540231066664828,-0.7603150691253467,1,12.460000038146973
