date,symbol,rule,ret,hold
20240813,KLAC,TR10,-6.430026432750246,14
20240813,KLAC,TR15,-11.305201857858682,17
20240813,KLAC,TP20_SL10,-11.305201857858682,17
20240813,KLAC,SPIKE10,-5.497387233689432,20
20240813,KLAC,RANK100_20,-5.497387233689432,20
20240813,KLAC,RANK300_20,-5.497387233689432,20
20240813,KLAC,h40,1.5459473443994565,40
20240813,KLAC,h60,-15.48753169855438,60
20240813,KLAC,RANK100_60,1.5459473443994565,40
20240813,KLAC,RANK300_60,-13.855749916406124,45
20240813,COST,h20,4.114158348221553,20
20240813,COST,TP10,4.114158348221553,20
20240813,COST,TP15,4.114158348221553,20
20240813,COST,TP20,4.114158348221553,20
20240813,COST,TP30,4.114158348221553,20
20240813,COST,SL10,4.114158348221553,20
20240813,COST,SL15,4.114158348221553,20
20240813,COST,SL20,4.114158348221553,20
20240813,COST,TR10,4.114158348221553,20
20240813,COST,TR15,4.114158348221553,20
20240813,COST,TP20_SL10,4.114158348221553,20
20240813,COST,SPIKE10,4.114158348221553,20
20240813,COST,RANK100_20,4.114158348221553,20
20240813,COST,RANK300_20,4.114158348221553,20
20240813,COST,h40,5.1201438673131205,40
20240813,COST,h60,4.119337377725563,60
20240813,COST,RANK100_60,4.114158348221553,20
20240813,COST,RANK300_60,3.202983975854745,25
20240813,TT,h20,4.649400463747266,20
20240813,TT,TP10,4.649400463747266,20
20240813,TT,TP15,4.649400463747266,20
20240813,TT,TP20,4.649400463747266,20
20240813,TT,TP30,4.649400463747266,20
20240813,TT,SL10,4.649400463747266,20
20240813,TT,SL15,4.649400463747266,20
20240813,TT,SL20,4.649400463747266,20
20240813,TT,TR10,4.649400463747266,20
20240813,TT,TR15,4.649400463747266,20
20240813,TT,TP20_SL10,4.649400463747266,20
20240813,TT,SPIKE10,4.649400463747266,20
20240813,TT,RANK100_20,4.649400463747266,20
20240813,TT,RANK300_20,4.649400463747266,20
20240813,TT,h40,18.061757960265147,40
20240813,TT,h60,15.740206471640782,60
20240813,TT,RANK100_60,15.740206471640782,60
20240813,TT,RANK300_60,15.740206471640782,60
20240813,IRM,h20,6.015397588804516,20
20240813,IRM,TP10,6.015397588804516,20
20240813,IRM,TP15,6.015397588804516,20
20240813,IRM,TP20,6.015397588804516,20
20240813,IRM,TP30,6.015397588804516,20
20240813,IRM,SL10,6.015397588804516,20
20240813,IRM,SL15,6.015397588804516,20
20240813,IRM,SL20,6.015397588804516,20
20240813,IRM,TR10,6.015397588804516,20
20240813,IRM,TR15,6.015397588804516,20
20240813,IRM,TP20_SL10,6.015397588804516,20
20240813,IRM,SPIKE10,6.015397588804516,20
20240813,IRM,RANK100_20,6.015397588804516,20
20240813,IRM,RANK300_20,6.015397588804516,20
20240813,IRM,h40,12.364896075989984,40
20240813,IRM,h60,6.722878795158338,60
20240813,IRM,RANK100_60,6.722878795158338,60
20240813,IRM,RANK300_60,6.722878795158338,60
20240813,TSM,h20,-1.2243335185673443,20
20240813,TSM,TP10,-1.2243335185673443,20
20240813,TSM,TP15,-1.2243335185673443,20
20240813,TSM,TP20,-1.2243335185673443,20
20240813,TSM,TP30,-1.2243335185673443,20
20240813,TSM,SL10,-1.2243335185673443,20
20240813,TSM,SL15,-1.2243335185673443,20
20240813,TSM,SL20,-1.2243335185673443,20
20240813,TSM,TR10,-9.005451401410747,17
20240813,TSM,TR15,-1.2243335185673443,20
20240813,TSM,TP20_SL10,-1.2243335185673443,20
20240813,TSM,SPIKE10,-1.2243335185673443,20
20240813,TSM,RANK100_20,-1.038642405158996,10
20240813,TSM,RANK300_20,-1.2243335185673443,20
20240813,TSM,h40,8.988459760916445,40
20240813,TSM,h60,12.529395946726352,60
20240813,TSM,RANK100_60,-1.038642405158996,10
20240813,TSM,RANK300_60,12.529395946726352,60
20240813,KKR,h20,2.141441137353728,20
20240813,KKR,TP10,2.141441137353728,20
20240813,KKR,TP15,2.141441137353728,20
20240813,KKR,TP20,2.141441137353728,20
20240813,KKR,TP30,2.141441137353728,20
20240813,KKR,SL10,2.141441137353728,20
20240813,KKR,SL15,2.141441137353728,20
20240813,KKR,SL20,2.141441137353728,20
20240813,KKR,TR10,2.141441137353728,20
20240813,KKR,TR15,2.141441137353728,20
20240813,KKR,TP20_SL10,2.141441137353728,20
20240813,KKR,SPIKE10,2.141441137353728,20
20240813,KKR,RANK100_20,2.141441137353728,20
20240813,KKR,RANK300_20,2.141441137353728,20
20240813,KKR,h40,16.527084859182196,40
20240813,KKR,h60,31.65006358873528,60
20240813,KKR,RANK100_60,31.65006358873528,60
20240813,KKR,RANK300_60,31.65006358873528,60
20240813,NVO,h20,1.6217239615540224,20
20240813,NVO,TP10,1.6217239615540224,20
20240813,NVO,TP15,1.6217239615540224,20
20240813,NVO,TP20,1.6217239615540224,20
20240813,NVO,TP30,1.6217239615540224,20
20240813,NVO,SL10,1.6217239615540224,20
20240813,NVO,SL15,1.6217239615540224,20
20240813,NVO,SL20,1.6217239615540224,20
20240813,NVO,TR10,1.6217239615540224,20
20240813,NVO,TR15,1.6217239615540224,20
20240813,NVO,TP20_SL10,1.6217239615540224,20
20240813,NVO,SPIKE10,1.6217239615540224,20
20240813,NVO,RANK100_20,1.095701165746732,15
20240813,NVO,RANK300_20,1.6217239615540224,20
20240813,NVO,h40,-12.077618731343854,40
20240813,NVO,h60,-20.824771545702315,60
20240813,NVO,RANK100_60,1.095701165746732,15
20240813,NVO,RANK300_60,-4.600465687958533,30
20240813,TRGP,h20,5.944345840801013,20
20240813,TRGP,TP10,5.944345840801013,20
20240813,TRGP,TP15,5.944345840801013,20
20240813,TRGP,TP20,5.944345840801013,20
20240813,TRGP,TP30,5.944345840801013,20
20240813,TRGP,SL10,5.944345840801013,20
20240813,TRGP,SL15,5.944345840801013,20
20240813,TRGP,SL20,5.944345840801013,20
20240813,TRGP,TR10,5.944345840801013,20
20240813,TRGP,TR15,5.944345840801013,20
20240813,TRGP,TP20_SL10,5.944345840801013,20
20240813,TRGP,SPIKE10,5.944345840801013,20
20240813,TRGP,RANK100_20,5.944345840801013,20
20240813,TRGP,RANK300_20,5.944345840801013,20
20240813,TRGP,h40,19.61932544913505,40
20240813,TRGP,h60,36.80902777657104,60
20240813,TRGP,RANK100_60,36.80902777657104,60
20240813,TRGP,RANK300_60,36.80902777657104,60
20240813,ISRG,h20,4.62459373471007,20
20240813,ISRG,TP10,4.62459373471007,20
20240813,ISRG,TP15,4.62459373471007,20
20240813,ISRG,TP20,4.62459373471007,20
20240813,ISRG,TP30,4.62459373471007,20
20240813,ISRG,SL10,4.62459373471007,20
20240813,ISRG,SL15,4.62459373471007,20
20240813,ISRG,SL20,4.62459373471007,20
20240813,ISRG,TR10,4.62459373471007,20
20240813,ISRG,TR15,4.62459373471007,20
20240813,ISRG,TP20_SL10,4.62459373471007,20
20240813,ISRG,SPIKE10,4.62459373471007,20
20240813,ISRG,RANK100_20,4.62459373471007,20
20240813,ISRG,RANK300_20,4.62459373471007,20
20240813,ISRG,h40,4.50738303205005,40
20240813,ISRG,h60,9.871486418627695,60
20240813,ISRG,RANK100_60,2.7406570446188327,25
20240813,ISRG,RANK300_60,9.492148307244497,55
20240813,NTRA,h20,4.041342063227571,20
20240813,NTRA,TP10,4.041342063227571,20
20240813,NTRA,TP15,4.041342063227571,20
20240813,NTRA,TP20,4.041342063227571,20
20240813,NTRA,TP30,4.041342063227571,20
20240813,NTRA,SL10,4.041342063227571,20
20240813,NTRA,SL15,4.041342063227571,20
20240813,NTRA,SL20,4.041342063227571,20
20240813,NTRA,TR10,4.041342063227571,20
20240813,NTRA,TR15,4.041342063227571,20
20240813,NTRA,TP20_SL10,4.041342063227571,20
20240813,NTRA,SPIKE10,4.041342063227571,20
20240813,NTRA,RANK100_20,-4.856325779129989,15
20240813,NTRA,RANK300_20,4.041342063227571,20
20240813,NTRA,h40,7.108054908821937,40
20240813,NTRA,h60,6.679553690022599,60
20240813,NTRA,RANK100_60,-4.856325779129989,15
20240813,NTRA,RANK300_60,6.679553690022599,60
20240813,GOOGL,h20,-7.7969226693977545,20
20240813,GOOGL,TP10,-7.7969226693977545,20
20240813,GOOGL,TP15,-7.7969226693977545,20
20240813,GOOGL,TP20,-7.7969226693977545,20
20240813,GOOGL,TP30,-7.7969226693977545,20
20240813,GOOGL,SL10,-7.7969226693977545,20
20240813,GOOGL,SL15,-7.7969226693977545,20
20240813,GOOGL,SL20,-7.7969226693977545,20
20240813,GOOGL,TR10,-9.291348849216163,18
20240813,GOOGL,TR15,-7.7969226693977545,20
20240813,GOOGL,TP20_SL10,-7.7969226693977545,20
20240813,GOOGL,SPIKE10,-7.7969226693977545,20
20240813,GOOGL,RANK100_20,0.3167363723976635,10
20240813,GOOGL,RANK300_20,-4.6966529166019955,15
20240813,GOOGL,h40,-1.2702613161714615,40
20240813,GOOGL,h60,7.6658070183309945,60
20240813,GOOGL,RANK100_60,0.3167363723976635,10
20240813,GOOGL,RANK300_60,-4.6966529166019955,15
20240813,AAPL,h20,0.6281831316126807,20
20240813,AAPL,TP10,0.6281831316126807,20
20240813,AAPL,TP15,0.6281831316126807,20
20240813,AAPL,TP20,0.6281831316126807,20
20240813,AAPL,TP30,0.6281831316126807,20
20240813,AAPL,SL10,0.6281831316126807,20
20240813,AAPL,SL15,0.6281831316126807,20
20240813,AAPL,SL20,0.6281831316126807,20
20240813,AAPL,TR10,0.6281831316126807,20
20240813,AAPL,TR15,0.6281831316126807,20
20240813,AAPL,TP20_SL10,0.6281831316126807,20
20240813,AAPL,SPIKE10,0.6281831316126807,20
20240813,AAPL,RANK100_20,-0.18980418258413012,15
20240813,AAPL,RANK300_20,0.6281831316126807,20
20240813,AAPL,h40,3.7375076033878463,40
20240813,AAPL,h60,0.6552999998957754,60
20240813,AAPL,RANK100_60,-0.18980418258413012,15
20240813,AAPL,RANK300_60,4.749842895161649,45
20240813,TLN,h20,19.867607246535933,20
20240813,TLN,TP10,12.696036478715445,7
20240813,TLN,TP15,17.266927076600467,8
20240813,TLN,TP20,19.867607246535933,20
20240813,TLN,TP30,19.867607246535933,20
20240813,TLN,SL10,19.867607246535933,20
20240813,TLN,SL15,19.867607246535933,20
20240813,TLN,SL20,19.867607246535933,20
20240813,TLN,TR10,19.867607246535933,20
20240813,TLN,TR15,19.867607246535933,20
20240813,TLN,TP20_SL10,19.867607246535933,20
20240813,TLN,SPIKE10,19.867607246535933,20
20240813,TLN,RANK100_20,19.867607246535933,20
20240813,TLN,RANK300_20,19.867607246535933,20
