anchor,svr5,svr20,dsvr,base_excess,d_svr5_tilt,d_dsvr_tilt,d_svr5_excl
20230719,,,,,,,
20230726,,,,,,,
20230802,,,,,,,
20230809,-0.0710211023430738,-0.09588825790759273,-0.04134673853669597,,,,
20230816,-0.06607032428933812,-0.1003616636528029,-0.005403319877618501,,,,
20230823,-0.03563051503597401,-0.033956019067359365,0.0038145330946143283,,,,
20230830,-0.013463457625827124,-0.0021300139316189704,-0.030289661577755853,,,,
20230907,0.05090978356834476,0.08650402238029402,-0.022787101262576385,,,,
20230914,0.053029706866024005,0.037431996467887564,0.06573158069617611,,,,
20230921,0.10767747247984745,0.08516876872036643,0.05612164376569825,,,,
20230928,-0.019151176482117446,-0.01923392228615021,-0.00793949892404582,,,,
20231005,-0.0756802668071376,-0.06352599292485665,-0.029276435515485765,,,,
20231012,-0.07003019089367227,-0.061676463925043126,-0.025598772694078228,,,,
20231019,0.016061208824553697,0.006327979157430335,0.020226014849524247,,,,
20231026,0.022387699902259757,0.036003848194205296,-0.0071746997375393235,,,,
20231102,0.05285703270611335,0.05318246673119448,0.006764879799003201,,,,
20231109,0.08910208965934745,0.09894982967974457,0.001183107834048983,,,,
20231116,0.11183205192198484,0.11999064858087223,0.021125986354444973,,,,
20231124,0.13530935401754163,0.13965690548358548,0.026726149787745186,,,,
20231201,0.13646339315737419,0.11921569149776237,0.07596713725611524,,,,
20231208,0.010290439988986197,0.01129242601668502,0.002502528874576884,,,,
20231215,-0.0831416805656536,-0.1123801957349615,0.030785047728497838,,,,
20231222,-0.09647572929387382,-0.10080746304396976,-0.010970796202583469,,,,
20240102,-0.06916838442861177,-0.08042164397334403,-0.009011237263932681,,,,
20240109,-0.033245950722890286,-0.002188332963480611,-0.06087576347792608,,,,
20240117,0.013599676858772242,0.02120476504634354,-0.003860645158711549,,,,
20240124,-0.038991860453155884,0.005833914077010866,-0.07375635492817062,,,,
20240131,0.005845649946132748,0.018757285394518305,-0.00945941654715012,,,,
20240207,0.023762154701639518,0.010146865381547465,0.015464187967755559,,,,
20240214,-0.05463377201312386,-0.06359317495752131,0.004826932241104924,,,,
20240222,-0.0015976748116498028,-0.004360108337246468,0.015142268527262222,,,,
20240229,-0.0002502571421288515,-0.014177624700287045,0.025824436036032378,,,,
20240307,-0.07109020691998283,-0.06446985630692305,-0.014367197118778664,,,,
20240314,-0.020562885902108377,-0.03816112715501894,0.011698325103354753,,,,
20240321,-0.07643415134538425,-0.06876087244176686,-0.03181130057662392,,,,
20240328,-0.0870936751794781,-0.10209779849816293,-0.009114092492311477,-5.922464410145867,,,
20240405,-0.053032525236607404,-0.05316835825280538,-0.004526777433529358,-12.09105315372485,,,
20240412,0.004231902682679708,0.015273852518170955,-0.0038324269382365673,-14.547679540538644,,,
20240419,-0.016309446982858893,-0.012531860572411482,-0.004361552544528553,-4.458833877827187,,,
20240426,-0.006437249223017858,-0.020885402522048475,0.017178873535995093,-8.100367157818738,,,
20240503,-0.05208558404870986,-0.044879406257036826,-0.013456382687546375,-3.7733045428305814,,,
20240510,-0.08827588044346206,-0.11371332661196003,0.012397924281412747,1.059030861621388,-0.9293871086695729,0.3787595863198195,0.9015963231221921
20240517,-0.04115277367172097,-0.048913544149660856,0.006488810314046606,1.5313602600188645,0.13247255573002256,1.7982067967038409,0.26374207747167366
20240524,-0.04231748433812424,-0.043177270157473586,-0.005075726435338189,1.178653297302652,1.1886854192959402,0.7453620717584655,-0.18123216731837472
20240603,-0.07375565767681148,-0.061362467401607425,-0.04000964442977716,-0.34096965086509134,0.8273996039775161,0.7814275331658047,-0.6168187970182984
20240610,-0.016673392738506463,-0.02016786627854695,-0.00346666627783268,1.9277242986060346,-1.3513618095721218,-1.4684401794789506,-0.12206237983561387
20240617,0.09249784914956917,0.1061514015501681,0.010181616485189464,-3.6082358385735427,-0.17001947158337624,0.5660801306873846,-0.20684677745981678
20240625,0.08679259673354303,0.10449635968565428,0.002848185236326213,-3.5447654130946997,0.429959968868711,2.385706144298404,0.38275460800601213
20240702,0.15595446974418267,0.1668847210354148,0.029787568801891994,-1.8226758259085631,-0.26750556624692623,-0.40271004797861887,-0.33929927246087455
20240710,0.05439602668347955,0.07731476917895687,-0.013578235893083887,-1.2352305094698264,-0.6038577456029725,0.3911227497861346,-0.009572558086848315
20240717,-0.049519940473138645,-0.06112094094469534,0.004268402354689953,4.925968432466651,3.54356737502899,3.246956295100714,0.6928161090692031
20240724,-0.045017321863281154,-0.031073439899147178,-0.03633379782004725,9.360452071611801,-1.3665414278867445,-3.5921654735293207,-0.25344984045281016
20240731,-0.07814373730663683,-0.0951584834261549,-0.004304816015436751,5.502705879231236,-0.07665910127715517,-0.2554100099151524,0.0
20240807,-0.06788772205535339,-0.07084821911467316,-0.020757791702992016,2.3281825017413027,2.7551172657708163,0.7228253182120781,0.15971121458029647
20240814,-0.033369996671294255,-0.05316605986764199,0.01165073228261903,-0.04877083254976877,3.1044600353727967,4.417778472391152,0.0
20240821,0.0545142971771359,0.05369280114037727,0.015827412372717585,0.8119187362635911,-0.38585950870831665,0.10606258318137593,0.0
20240828,-0.005849979636154063,-0.02923788132922458,0.03504776110526078,0.9265538916229203,-0.9361742150881369,0.9875504015249049,0.04425895020587524
20240905,-0.00712240384544932,-0.003273824854273816,-0.006453065792678031,1.3410931456165984,-0.08353523435147905,-0.8420728661538035,0.3303153713014678
20240912,-0.005327200957147534,0.009684763719331016,-0.020588753085952323,0.0477950364583056,-0.8510309371585357,-0.9093718010797471,0.2135716307256605
20240919,-0.01401454663986605,-0.031517880047818726,0.02220078378945285,2.648225586547347,-0.8157499918094703,-1.6144527069520676,0.0
20240926,-0.02974608595698716,-0.01572977740739347,-0.029527365961955578,1.2295756987771276,1.0263068835172025,1.0972812672388859,0.8142563088354198
20241003,0.0005799305573725418,0.025111328754706598,-0.03762177054463363,0.956843534768694,0.19683322713252466,-0.7026418713360341,0.1431334224699035
20241010,0.07412449030847588,0.09844866109639416,-0.00590061053058734,1.810126575810618,-2.6988265806867267,-1.3553910724126872,0.21418164825555003
20241017,0.024313204768191692,0.008394084351037862,0.02728252798006951,3.404858067701819,-0.7365276894821159,-1.1942572426582212,-0.3325006599978031
20241024,0.037135833118114865,0.04454763766019331,-0.0016661017311176821,6.57196013707525,0.7935210237731971,1.2394052656158339,0.09455653280044662
20241031,0.06040578472404888,0.0837332847744615,-0.007193426760600034,6.008675365530109,-0.6040045220463336,-1.1479956088638221,-0.012800167658619244
20241107,-0.036765362691362755,-0.03098566627993782,-0.018698033664227974,3.9265107977911287,0.32283437752892785,0.6969416574925273,1.012127915183752
20241114,-0.0365125279754425,-0.03622888201595741,-0.0076686628965043375,1.3542816738834413,0.2756226838001231,-1.7412197497276773,0.3906815140796549
20241121,-0.07039552731038172,-0.0832072683515123,-0.010309125669450405,-2.5914061327968385,1.7124782185493772,-1.100694413728797,0.09455512434489652
20241129,-0.09447775773857324,-0.11390713315281749,-0.0013901174816431062,-3.2050902632649336,2.0846382480017787,0.5750457518584523,0.8050294146209058
20241206,-0.07875274229717559,-0.09321635641341453,-0.0026712004615972594,-2.9176748471555136,2.0398405058714957,0.9590571641085468,0.22417306842917317
20241213,-0.07789624305725601,-0.07901747594926908,-0.022203521306195968,3.167165295944517,-0.4156351085811331,-0.8251145737480284,-0.445875485305873
20241220,-0.04890613643729443,-0.016056387552021986,-0.05792807497002875,4.970817587791522,-0.005810976986946048,-0.910492706943955,-0.36280307392061034
20241230,-0.046694839598556054,-0.04701076598890387,-0.020618121428852595,0.85296201448277,0.7878141537973171,0.16653012101979156,-0.727245884193941
20250107,-0.03852920332471462,-0.033948265536743016,-0.0141088417385119,2.5965296651535055,-0.2646489817422958,0.526765718383735,-0.8236857240330735
20250115,-0.06564508350275954,-0.08298695912041701,0.024479120043418606,2.108127720320729,-3.3590710125930965,0.794297526390715,-0.2587767311394463
20250123,-0.08765284193642629,-0.1015451485234626,0.00701142287229405,-6.638569889569442,8.565706678344998,5.733963632197819,-0.9525365677494888
20250130,-0.08035179830962318,-0.09805691314706373,-0.0011886362224466551,-4.372772159944958,6.489145017138612,3.415384144295517,-0.26658170669342646
20250206,0.014790856264761554,-0.009713248033376858,0.03806287250564303,-13.165579002064954,4.6508329797682295,2.8882267833007234,0.19541635923035205
20250213,-0.01905648536187548,-0.021334133737211856,-0.011516502395193699,-7.868093539420977,2.6271941722604666,-3.938835685851447,0.0
20250221,-0.04046705730965213,-0.023205766742142944,-0.029121709461251703,-5.752302143460902,2.1518383072598914,0.3434020553059247,0.0
20250228,-0.019377956445558495,0.003531444807060822,-0.0456633562443272,-5.700987284756723,0.2682909964008634,0.9005734105716547,0.0
20250307,-0.04356507650028737,-0.04267359720060768,-0.007752426562420958,-2.7043849263031774,1.3226630365386738,2.498003431570481,0.1710856323857507
20250314,0.027417737899618797,0.020346024990099274,0.016112065925563315,0.5307423412034662,2.6545136042639577,5.807622348821853,-0.03270360615105633
20250321,0.03615204286250737,0.026822280531196185,0.023381438650988167,0.0016562079554430231,0.7691976188746202,3.4629052305797146,0.10782944943250883
20250328,0.0585673342492521,0.03696939102544217,0.048919474606093784,3.142309704718594,-1.4447475179730822,-0.4955060140637113,0.057735691895432345
20250404,0.035965757847907814,0.04933191972516599,-0.007986162368839818,6.2019027408804845,-3.580302729553517,-4.035127901597467,0.019441237370154685
20250411,0.025629432094262303,0.04747989455680327,-0.021292906709927183,-3.6894871582076703,1.3935342036040939,1.2084690679690744,0.0
20250421,0.054766799421140745,0.07146467629923219,-0.00897842002719568,-0.5125581538685697,-3.3276309882640023,1.1791244401757468,-0.3444199094670142
20250428,0.06494331614029403,0.06681488055189731,0.03075984163803092,1.0317033599319263,-3.2648196855014024,1.4839495192224632,0.08195679258275745
20250505,0.026047594715123263,0.029897834408868763,0.004778502664997568,-0.43326244866826735,-3.0678285905335723,-1.469202119152455,0.18619207797911305
20250512,-0.020456260863743633,-0.01713947200677936,-0.014594338424375143,2.6800561671451546,-3.343865134142294,-0.896589595298835,0.35617763063970975
20250519,-0.07174250998701541,-0.0618197291780159,-0.024041504178297975,2.092799129909736,-1.2520908649182232,-0.8770791345194408,0.8190248381552641
20250527,-0.0176140850066837,-0.00912831760410934,-0.010597371561639124,3.526496017900444,-2.9065694864952087,-2.738887944668496,0.0
