factor,d_pp,ci_lo,ci_hi,overlap,n
cfo_at,-0.43712874366299864,-1.2409611646100362,0.35899856873978886,0.48759259259259263,108
roa,-0.3312718171632194,-1.20310326262994,0.5104376561997309,0.4644444444444445,108
snbm,-0.426758877697774,-1.2081614038665474,0.31862283834107075,0.4224074074074074,108
