factor,sign,ic,lo95,hi95,lob,hib,n,cover,d_top50,d_lo95,d_hi95,d_lob,d_hib,overlap
rev_g,1,0.022925975540211172,0.002015262377322808,0.04282989792368387,-0.00914201217823684,0.05168022883055163,109,0.5894498134058583,0.6432868731452567,0.05781190158449085,1.2472307626605605,-0.18640351419075066,1.4993415399292143,0.5500917431192661
rev_acc,1,-0.005591655977972796,-0.016090412948375692,0.004151343592250075,-0.020450773276011837,0.008380135303100954,109,0.5683869810965051,-0.29649922495868447,-0.7702641854320306,0.13582596051012502,-0.9802206349242111,0.3262678027427783,0.45321100917431195
sp,1,0.025505962088286642,0.001986677010829726,0.04888796490224799,-0.008948607564453048,0.06010916879489828,109,0.514205570298606,-0.5079876770683629,-1.588661230294378,0.4753357461951307,-2.0115674134174903,0.9632492047135235,0.4825688073394495
opm,1,0.03771070185264726,0.002346412147039511,0.07376597894919912,-0.009854189256575937,0.09103323693428501,109,0.4803155260681228,-0.08617152781221718,-0.925139099099758,0.8464503744159427,-1.253715590176743,1.2591486867292496,0.4522935779816515
asset_g,-1,-0.023059343703112224,-0.03890340376729467,-0.008055850584122056,-0.0471731386373176,-0.00093536455888374,109,0.7537060350645809,-0.38221170203238475,-1.2349149322856885,0.36305747122214266,-1.5863970915584957,0.6987377916513392,0.3955963302752293
ipo1y,1,-0.01799517284862021,-0.02877550336092043,-0.006983625218501518,-0.03395016488481446,-0.0025895305538124478,109,1.0,0.0,0.0,0.0,0.0,0.0,1.0
