factor,n,meanIC,ci95_lo,ci95_hi,bonf_lo,bonf_hi,coverage
vol_cv,102,-0.07006871629734834,-0.09120583093664886,-0.04953701739412163,-0.09933796010503486,-0.04300056875094616,0.9992445914945628
dd63,102,0.057224662621852364,0.022220318262028783,0.0907080163377827,0.009199775974880732,0.10521581292102755,0.9992445914945628
dd252,102,0.06852995732410853,0.02936344748557539,0.10622188657228332,0.016356339278949264,0.11976824476486596,0.9992445914945628
rv63,102,-0.06287009310336746,-0.11546611602149405,-0.010390009026405467,-0.13510404824807146,0.010401760532819545,0.9992445914945628
dtc,102,0.019867129771049444,-0.0016816562145005084,0.04297146076466857,-0.009850111211817204,0.05151022997364466,0.9547604294277195
dtc_chg,102,0.01022644171688016,0.00037678511085728286,0.019988830176622476,-0.00345003938740857,0.023242240794566278,0.9537528396501562
mom6,102,0.029705953412253953,-0.005199653534741178,0.06052222157974312,-0.02012205546025747,0.07221480789643278,0.9872598306151944
upratio126,102,0.07374436845525738,0.05098551460383407,0.09442675450426147,0.04195233949081909,0.10187703107120649,0.9992445914945628
