group,ex60,lo95,hi95,lob,hib,w60_ratio,l60_ratio,n_avg,verdict
base top10,9.229556789574204,3.3073368359107165,14.834153573186883,-0.2604575171902427,18.622045889648273,3.2179233642266394,0.438754057876917,10.0,기대수익 우위
mom12 Q5 ∩ sp500_now,6.289637796314869,3.3008088207348307,9.563496733183564,1.7366895960578241,12.083905529199528,1.5148890947334572,0.1271528149629315,77.21782178217822,기대수익 우위
rev_g Q5 ∩ mom12 Q5,5.464930709562154,1.9881201852794157,9.036828202418207,-0.1560892166056933,10.791374128655372,2.5161901999466147,1.0584296355684184,139.93069306930693,기대수익 우위
gm top50,4.831079692858023,0.2886567034203703,8.987659136138534,-2.5352906733774994,11.776065270972634,2.391803563521602,0.9424128990608066,49.97029702970297,기대수익 우위
base top50,4.231950789089612,0.1232876631717028,7.994778890716885,-2.2423506737116563,9.960555588442839,1.8487247918672,0.46447799991895544,49.98019801980198,기대수익 우위
rev_g Q5,2.4789131805105207,0.5128118883061733,4.413118282573228,-1.0108551976756661,5.336905830339676,1.8407726421567858,1.1446314894963254,398.5742574257426,기대수익 우위
rev_g Q5 ∩ upratio63 Q5,2.475454575091048,0.46243609582232753,4.28641506766932,-0.6983241370482767,5.187528788163635,1.547262267274609,0.668539584781315,91.0,기대수익 우위
rev_g Q5 ∩ opm Q5,2.1161597636254563,1.1617448646249202,3.1284605452163645,0.6153969394823596,3.7009748513677896,1.0795254839138442,0.5362647994454947,64.36633663366337,
mom12 Q5,1.8843448920476107,0.18505070605715943,3.410151599694928,-0.8969392243476191,4.116234009179087,1.68646479090558,1.1597091916181217,636.8613861386139,기대수익 우위
rv63 Q5 ∩ mom12 Q5,1.7707057029315978,-2.693520933754217,6.848919748017849,-4.744240221366946,10.279076441739125,3.2122604771042345,2.7444039493768044,227.79207920792078,복권형(양쪽 꼬리↑)
sp500_now=1,1.7249912421142057,0.7296127276036551,2.7411925509817583,0.14589702627215667,3.3483298475004544,0.5065186873237832,0.07941719478595256,496.71287128712873,방어형(양쪽 꼬리↓)
size_amt Q5,1.4637348836039084,0.6837552155173031,2.1731873273873266,0.22493568002963873,2.6561169494352854,0.8315307763759963,0.3430621465369171,677.4356435643564,
sue Q5,1.2407700369114272,0.5211872982062755,2.018648828535145,-0.00975414899719252,2.547339717896584,1.0330301074606112,0.6664735727158534,454.51485148514854,
price Q1,1.1065517196026937,-0.5775499469756444,2.9759060276039264,-1.4073611119783391,4.279207981691341,1.8715219280116204,1.5463217530396165,675.8712871287129,복권형(양쪽 꼬리↑)
asset_g Q5,1.0313945395121917,-0.39125424555147387,2.5804160220339227,-1.450424626285665,3.672943682574885,1.509767553754192,1.1455992825556613,510.1188118811881,
vol_cv Q1,1.001919519343517,-0.13044999880764702,2.1466264552341308,-0.7057601626120729,3.0434500660892887,0.5277021673208555,0.2070868178726247,676.7029702970297,방어형(양쪽 꼬리↓)
dtc Q5,0.995511396230049,-0.4047611823093107,2.3398842116801104,-1.2671860264276127,2.9934831629541834,1.255734373921232,0.8704646068827813,646.0792079207921,
sp Q5,0.9730186301930946,-0.27880376650878524,2.24960893088513,-0.9576311040220409,3.06423539371656,1.1382126277037516,0.6063061344601766,348.019801980198,
ma200_up=1,0.9278775011977352,0.06479577808331594,1.7974418003746444,-0.416362633457197,2.385363527873775,0.9401822682181749,0.6636244331001218,2017.8910891089108,
svr20 Q5,0.868147534875778,-0.13164854058988154,1.8006682498836404,-0.7367145205195791,2.3222479027563394,0.7924656896646389,0.5346654106956484,663.6534653465346,방어형(양쪽 꼬리↓)
rev_acc Q1,0.8644468291623458,-0.4610452010789866,2.208270810487437,-1.3722667981003522,3.128800850463683,1.317342060216546,1.157140956730319,384.54455445544556,
days_since_ea Q5,0.7625983082207525,-0.05240179284305212,1.5479299047765007,-0.4335944596836737,1.9525703131782923,0.696211466837912,0.594828201950497,519.2574257425742,방어형(양쪽 꼬리↓)
bm Q5,0.7577210994866096,-0.19360046888111437,1.6387575319085437,-0.8341910135640704,2.145354859999539,0.6942677114320817,0.4310149156567481,473.05940594059405,방어형(양쪽 꼬리↓)
upratio63 Q5,0.7171310251480485,-0.7688011033995897,2.3745610440749125,-1.5241353427517639,3.44143486587786,0.8475695016954691,0.49827949897549145,670.940594059406,
opm Q5,0.34417455081726833,-0.7916422379717841,1.509655661259238,-1.469760492832553,2.316367532663861,0.5216327069631963,0.2573013167210033,324.5049504950495,방어형(양쪽 꼬리↓)
roa Q5,0.26788399604995955,-0.5416896792699967,1.0991851852419279,-1.0176251617430216,1.5782239853038127,0.6210032269097993,0.25532309972151,497.5247524752475,방어형(양쪽 꼬리↓)
mcap Q5,0.08401441255478775,-1.4627491859314847,1.7400179677418508,-2.3242115344914076,3.097516183923796,0.4777816039564003,0.5090535596018385,544.9702970297029,방어형(양쪽 꼬리↓)
days_since_ea Q1,0.03412647445977536,-1.2438752360425043,1.2397185506785058,-2.3131072017929917,1.746619101271264,1.3562226793046308,1.2359360928179446,517.6435643564356,
rev_acc Q5,0.0027060265610211443,-1.0177971379744641,1.0539642346263889,-1.6454225271279688,1.6851793624076787,1.2699249919010327,1.1662116905415645,384.63366336633663,
ins_npr Q5,-0.0031883171421889333,-0.8044502366639406,0.7623487795968161,-1.312295411572011,1.1465302386167646,0.9422612826205173,0.8212373420830485,292.5742574257426,
sue Q1,-0.06931551904213787,-0.8412783551391422,0.616279529229165,-1.4133565758894264,0.9754940493155175,0.9776810330882513,0.8680846911196952,454.1089108910891,
ins_clu=1,-0.10872736768767069,-1.1559162431272951,0.96518858160219,-1.6329639673681324,1.7014585952538905,0.9982928668153837,0.8462229593164905,120.95049504950495,
prox52 Q5,-0.15245651943368657,-1.9085303881663327,1.4535161300704795,-2.81317898810072,2.1992985647655785,0.4742900472525652,0.319333369888663,675.9207920792079,방어형(양쪽 꼬리↓)
svr20 Q1,-0.1643272907909101,-0.9814529527551524,0.6156441686563877,-1.542606921876111,1.1239065506580657,0.8949089786570615,0.8418447651542965,661.049504950495,
ipo1y=1,-0.42254671796801335,-4.60802718194749,3.8070326574084716,-6.922893029884648,6.48752085086482,2.1476549659096777,3.3531949195621715,100.04950495049505,복권형(양쪽 꼬리↑)
mom1 Q5,-0.5408763457170943,-2.4602753224336453,1.2567677797022094,-3.5039905065927055,2.494126679204764,1.6656762537826513,1.7462467902692702,676.940594059406,복권형(양쪽 꼬리↑)
opm Q1,-0.5511500823710301,-4.134900220086777,2.8664780429608516,-6.468285461578522,4.633694302390902,2.28617542500519,2.657105682573851,324.44554455445547,복권형(양쪽 꼬리↑)
rv63 Q1,-0.6245541141038424,-3.068631321515371,2.126881036834397,-4.366811132182183,4.298881902322304,0.00952777984290435,0.02320264086639055,674.7821782178218,방어형(양쪽 꼬리↓)
rev_g Q1,-1.1625149001762876,-2.495608930122522,0.10559070177838832,-3.4716551358255447,0.9634505496514341,1.191290271399314,1.3476198722293748,397.8811881188119,
roa Q1,-1.1956543440060812,-4.443408464442793,1.8107159009236895,-6.671097502663559,3.6435978807397285,2.613054002712218,3.2783908329906866,497.1188118811881,복권형(양쪽 꼬리↑)
mcap Q1,-1.2898761784518697,-2.9163030746476424,0.4883053193045144,-3.9439078344365472,1.6341047586465582,1.874931077653748,2.4563834190709937,544.6336633663366,복권형(양쪽 꼬리↑)
size_amt Q1 ∩ mom12 Q5,-1.4769574607856069,-2.9144493751443408,-0.06810090538207951,-4.0371326722457646,0.6213397624671562,2.0899960846518266,2.143548915504111,91.0,복권형(양쪽 꼬리↑)
sp Q1,-1.5073124057382938,-3.25432588140261,0.39380651844984355,-4.031329473037106,1.659983629236457,1.2601278506495366,1.7941217341347298,347.5247524752475,
mom1 Q1,-1.6548474459986189,-3.2596110694122364,0.026672330700553262,-4.258395633342292,1.0206749742332444,1.5605842008491873,2.1725655982544296,675.9108910891089,복권형(양쪽 꼬리↑)
asset_g Q1,-1.6590888228689513,-3.4991196398416142,-0.028985406532912285,-4.663610673854415,0.8938095152825073,1.6083975615796569,2.012817318409537,508.61386138613864,복권형(양쪽 꼬리↑)
size_amt Q1,-1.9585282501762775,-3.0314207882921997,-0.749058409251058,-3.4844720538278913,0.005623164503880573,1.0314774524732127,1.727335215600029,675.7326732673267,열위
price Q5,-2.002064231403297,-2.9910977254415747,-1.1166255376903416,-3.816453939447201,-0.5634357786110498,0.5239341904051383,1.1510597092879036,677.3366336633663,열위
rv63 Q5,-2.468744810064944,-6.133151574424601,1.3955240597605456,-8.122761521554269,3.512578153484072,2.931529396900433,4.141544702503918,677.4059405940594,복권형(양쪽 꼬리↑)
dtc Q1,-3.2714913338462663,-5.001345162163658,-1.517193072720505,-6.092883187489803,-0.6552829070863012,1.115769871031516,2.347279545506502,644.8019801980198,열위
