model,excess,lo95,hi95,lob,hib,vs_spx,hit,turnover,chain_cum,mdd,n,d_base,d_lo95,d_hi95,d_lob,d_hib
base(mus_v0 top50),1.3062288430995042,-0.6060015592238444,3.1048120979197757,-1.1812981391121524,3.6007273023183006,0.9615310434825659,0.5963302752293578,0.43638095238095237,67.13839243931984,-27.07854695494697,109,,,,,
gm(rev_g+mom+up),1.8776090816709852,0.015071202217101686,3.7048838440713348,-0.5478840137351476,4.27242264917732,1.5329112820540471,0.6422018348623854,0.4765714285714286,94.06581370413454,-27.196750498814936,109,0.5713802385714809,-0.09611340549499514,1.2327754162492626,-0.35312861993753764,1.4634294544920803
canslim(rev_g+sue+prox52+up),0.8728136270981027,-0.20577826706630897,1.9552390245088926,-0.5107587441526643,2.2602379338530514,0.5281158274811646,0.5963302752293578,0.5952380952380952,58.43339124590954,-18.327200625713203,109,-0.43341521600140137,-1.8943046599486275,1.0663854114566025,-2.4546261478083244,1.5361995079955726
base∩rev_g>중앙값,1.353602381689387,-0.4627922649665566,3.0681143703929155,-1.0641258122567492,3.54328020563404,1.0089045820724492,0.6880733944954128,0.4060952380952381,71.20304235220654,-25.59524449007664,109,0.047373538589883114,-0.38576112812706215,0.46063938505259017,-0.5044205641604751,0.5848011825066527
base∩opm>0,1.3128612383167753,-0.40840835988989044,3.0277998634216288,-1.020370355701098,3.5193665782377987,0.968163438699837,0.5779816513761468,0.3933333333333333,71.1346126970091,-21.034069830457895,109,0.006632395217271233,-0.5151318775034951,0.5332713607678528,-0.6930515051520229,0.6858893293164668
gm_small(하위半),0.819693720215982,-0.17054573729322334,1.7766327793387409,-0.46917413031747424,2.0817123831788185,0.4749959205990438,0.6330275229357798,0.4927619047619048,52.89279458135776,-22.622441318766207,109,-0.486535122883522,-1.880309788652826,0.9438496714184327,-2.2494014136235516,1.3841104279806784
