factor,IC,lo,hi,n,top10_abs%,top10_exc%,IC24,IC25,IC26
vol_cv,0.06709368876900489,0.03712655625113686,0.09960913998678209,23,1.4567895739432704,0.8663451021721599,0.047795680733069425,0.0757970117838649,0.06376305696630435
vol_surge,0.007151708200559226,-0.02386304660287174,0.03604293547461847,23,-0.870696036148185,-1.461140507919295,-0.009188222485659698,-0.0027892814507339855,0.0493382119801405
updown_vol,-0.025679717158657935,-0.06107278272767515,0.010508656947571228,23,-2.986408426248907,-3.576852898020017,0.0005889867030366188,-0.03931299153558011,-0.016501907640354842
obv63,-0.025733430277595448,-0.06303015214711356,0.011652994350357992,23,-2.986711161756996,-3.5771556335281063,0.0008505415030858624,-0.039496236666517776,-0.016534105447078718
pv_corr,-0.03940355868903067,-0.0644478981589253,-0.01431719698873029,23,-1.1375804851800837,-1.7280249569511938,-0.013969137230562723,-0.05243295100545016,-0.03096156012480794
amihud,-0.06394761365134459,-0.09472578508168714,-0.031334374470116076,23,-4.8939012859497435,-5.484345757720854,-0.0486061457293409,-0.08186517412695335,-0.032703424336765596
