date,yr,f,sic
20240813,2024,lv63,0.16847386902544814
20240813,2024,nh252,0.20273854681614067
20240813,2024,mom12,0.06086779449879999
20240813,2024,mom_1m,0.13893395565322617
20240813,2024,upratio63,0.15081197617524872
20240813,2024,max5,0.13463709356507908
20240813,2024,fip,-0.018117072919805893
20240813,2024,size_amt,0.01657623955548882
20240911,2024,lv63,-0.05518053674144845
20240911,2024,nh252,-0.029276979807699863
20240911,2024,mom12,0.1119804872377195
20240911,2024,mom_1m,-0.07750212309238419
20240911,2024,upratio63,-0.03849516437735848
20240911,2024,max5,-0.030481396213364664
20240911,2024,fip,0.04969992342484427
20240911,2024,size_amt,0.16826802394547294
20241009,2024,lv63,-0.16967027465308754
20241009,2024,nh252,-0.03645108942696589
20241009,2024,mom12,0.08250154962726514
20241009,2024,mom_1m,0.010580988229345318
20241009,2024,upratio63,-0.000685279407584825
20241009,2024,max5,-0.12149954455105498
20241009,2024,fip,-0.15105169528184134
20241009,2024,size_amt,-0.07083747553190554
20241106,2024,lv63,0.16799197556606618
20241106,2024,nh252,0.19040739151669475
20241106,2024,mom12,0.12711032462715596
20241106,2024,mom_1m,0.06333008369974118
20241106,2024,upratio63,0.1631686802511861
20241106,2024,max5,0.14002787748733603
20241106,2024,fip,0.06558738910585005
20241106,2024,size_amt,0.08676928730180097
20241205,2024,lv63,-0.011337622100182094
20241205,2024,nh252,-0.031777795699359235
20241205,2024,mom12,-0.08589400421872138
20241205,2024,mom_1m,-0.0245242771316655
20241205,2024,upratio63,0.015388113834631116
20241205,2024,max5,-0.0016593244779591525
20241205,2024,fip,0.052990256412308166
20241205,2024,size_amt,-0.01836184036452448
20250106,2025,lv63,0.21113897152963818
20250106,2025,nh252,0.17533812938410978
20250106,2025,mom12,0.19153381855950102
20250106,2025,mom_1m,-0.14200815926790733
20250106,2025,upratio63,0.08337048376288675
20250106,2025,max5,0.26400019691930005
20250106,2025,fip,0.006186375895436747
20250106,2025,size_amt,0.09666073441969474
20250205,2025,lv63,0.4938434220689394
20250205,2025,nh252,0.15054230787288947
20250205,2025,mom12,-0.11932724195493415
20250205,2025,mom_1m,-0.05449792601557944
20250205,2025,upratio63,-0.03268357015032605
20250205,2025,max5,0.432430520573874
20250205,2025,fip,0.0007111693831173192
20250205,2025,size_amt,0.014322048156923037
20250306,2025,lv63,0.3666034649049849
20250306,2025,nh252,0.3843586141871278
20250306,2025,mom12,0.1572964452767363
20250306,2025,mom_1m,0.2143497614175776
20250306,2025,upratio63,0.23441633162099124
20250306,2025,max5,0.2632668009065514
20250306,2025,fip,0.10396155297145475
20250306,2025,size_amt,0.037950308481412905
20250403,2025,lv63,-0.28806483783272696
20250403,2025,nh252,-0.27827335562287053
20250403,2025,mom12,0.10205457520277651
20250403,2025,mom_1m,-0.30183001341203103
20250403,2025,upratio63,-0.099203333948621
20250403,2025,max5,-0.23732676126246174
20250403,2025,fip,-0.078105596623529
20250403,2025,size_amt,0.08117813883258858
