date,combo,abs,exc
20240813,mom12+nh,1.614962075356391,-0.15736128777717495
20240813,c3미국(mom+nh+size+up),4.493238034636591,2.7209146715030257
20240813,mom+up+size,1.7111412334849505,-0.0611821296486153
20240813,lv+mom+nh+size,4.523403461731497,2.7510800985979307
20240911,mom12+nh,7.680993599921898,4.7842626785574325
20240911,c3미국(mom+nh+size+up),4.87150416659839,1.9747732452339253
20240911,mom+up+size,4.8330260256137025,1.936295104249236
20240911,lv+mom+nh+size,2.4386141214737354,-0.4581167998907301
20241009,mom12+nh,10.984752799535197,7.359381774131595
20241009,c3미국(mom+nh+size+up),5.763692429617991,2.13832140421439
20241009,mom+up+size,4.740454983094241,1.1150839576906408
20241009,lv+mom+nh+size,3.1387481042311363,-0.4866229211724646
20241106,mom12+nh,4.224821059186483,3.753699098743383
20241106,c3미국(mom+nh+size+up),10.608400821362425,10.137278860919325
20241106,mom+up+size,8.083644005705938,7.61252204526284
20241106,lv+mom+nh+size,5.518720491522066,5.047598531078965
20241205,mom12+nh,-1.0372121047165785,3.648743034549495
20241205,c3미국(mom+nh+size+up),-3.958517962147291,0.7274371771187828
20241205,mom+up+size,-4.483750331391111,0.20220480787496317
20241205,lv+mom+nh+size,-5.893585174153286,-1.2076300348872122
20250106,mom12+nh,-0.8473054818182248,-2.942715751748612
20250106,c3미국(mom+nh+size+up),2.4620751605933466,0.36666489066295993
20250106,mom+up+size,3.301838478718866,1.2064282087884795
20250106,lv+mom+nh+size,5.166731696287025,3.0713214263566373
20250205,mom12+nh,-19.91654108388573,-13.265169953900608
20250205,c3미국(mom+nh+size+up),-14.745028606632776,-8.093657476647659
20250205,mom+up+size,-21.14571566669466,-14.494344536709546
20250205,lv+mom+nh+size,-3.337847134046606,3.3135239959385117
20250306,mom12+nh,-0.4491308915655265,5.989979367630908
20250306,c3미국(mom+nh+size+up),-0.48455049571550335,5.9545597634809315
20250306,mom+up+size,-7.007705570426015,-0.5685953112295804
20250306,lv+mom+nh+size,0.8422995053137206,7.281409764510155
20250403,mom12+nh,-0.24276019013364553,-3.783292912915255
20250403,c3미국(mom+nh+size+up),-0.4617013147588993,-4.002234037540508
20250403,mom+up+size,9.109096670692894,5.5685639479112865
20250403,lv+mom+nh+size,-0.9878362851455337,-4.528369007927142
20250502,mom12+nh,6.853011718887792,5.141893919893703
20250502,c3미국(mom+nh+size+up),4.164705972995714,2.4535881740016263
20250502,mom+up+size,6.854158362613358,5.143040563619269
20250502,lv+mom+nh+size,0.030058850213213563,-1.6810589487808747
20250602,mom12+nh,2.0664765414609407,-2.3472678877349686
20250602,c3미국(mom+nh+size+up),2.1809112244043805,-2.232833204791528
20250602,mom+up+size,3.8808080964185585,-0.5329363327773503
20250602,lv+mom+nh+size,-1.1528544478721765,-5.566598877068085
20250701,mom12+nh,-2.217262656554727,-2.2904979788734257
20250701,c3미국(mom+nh+size+up),6.003543102509318,5.93030778019062
20250701,mom+up+size,7.847521119024368,7.774285796705669
20250701,lv+mom+nh+size,0.26959534940965696,0.19636002709095832
20250730,mom12+nh,2.4871797715682558,-1.1092453874313382
20250730,c3미국(mom+nh+size+up),-0.4644289908225411,-4.060854149822135
20250730,mom+up+size,-1.0080786834347093,-4.604503842434305
20250730,lv+mom+nh+size,-0.13465709441878243,-3.7310822534183763
20250827,mom12+nh,8.693902281978747,9.80179754005365
20250827,c3미국(mom+nh+size+up),6.261342290127917,7.369237548202819
20250827,mom+up+size,9.435612441122206,10.543507699197107
20250827,lv+mom+nh+size,0.5658535273010872,1.673748785375991
20250925,mom12+nh,1.0617893814228891,0.8753523493533476
20250925,c3미국(mom+nh+size+up),3.2605772574412195,3.074140225371677
20250925,mom+up+size,4.934203725136701,4.74776669306716
20250925,lv+mom+nh+size,-0.11361249684123255,-0.30004952891077413
20251023,mom12+nh,-9.472543869919914,-4.431376691958012
20251023,c3미국(mom+nh+size+up),-3.866377229997677,1.1747899479642263
20251023,mom+up+size,-11.329795256952837,-6.288628078990932
20251023,lv+mom+nh+size,-0.19329092219170727,4.8478762557701955
20251120,mom12+nh,7.567069955176151,0.9091033880601396
20251120,c3미국(mom+nh+size+up),4.810142809682527,-1.8478237574334864
20251120,mom+up+size,16.148227947944775,9.49026138082876
20251120,lv+mom+nh+size,0.7633501688499681,-5.894616398266046
20251219,mom12+nh,15.964568144787943,12.60061041774016
20251219,c3미국(mom+nh+size+up),11.717908909824791,8.353951182777006
20251219,mom+up+size,11.68561355206818,8.321655825020393
20251219,lv+mom+nh+size,2.9247035183818637,-0.4392542086659199
20260121,mom12+nh,1.2895718966722813,0.806714961339139
20260121,c3미국(mom+nh+size+up),4.277851370010137,3.794994434676994
20260121,mom+up+size,5.2571912861310235,4.774334350797883
20260121,lv+mom+nh+size,4.432272360295566,3.949415424962423
20260219,mom12+nh,-2.124563553506124,3.9052373149368624
20260219,c3미국(mom+nh+size+up),-2.0189355071597466,4.010865361283241
20260219,mom+up+size,-7.576081377432768,-1.5462805089897795
20260219,lv+mom+nh+size,-2.42682443992096,3.6029764285220263
20260319,mom12+nh,8.75236495231169,0.5448550173223697
20260319,c3미국(mom+nh+size+up),8.061551310557748,-0.1459586244315746
20260319,mom+up+size,16.943087687509763,8.73557775252044
20260319,lv+mom+nh+size,2.751622784692281,-5.455887150297039
20260417,mom12+nh,1.1925884638506303,4.309574151003726
20260417,c3미국(mom+nh+size+up),15.325559615109189,18.442545302262282
20260417,mom+up+size,11.429261855989896,14.546247543142993
20260417,lv+mom+nh+size,2.227194106652284,5.34417979380538
20260515,mom12+nh,-2.1089817542612788,-5.666748955956506
20260515,c3미국(mom+nh+size+up),7.465224614257718,3.90745741256249
20260515,mom+up+size,11.523274879611668,7.965507677916442
20260515,lv+mom+nh+size,0.23018750976111618,-3.327579691934111
