feat,n,IC,lo95,hi95,loB,hiB,q5q1_pp
r1,527,-0.014579879121558155,-0.03492847184482066,0.004942333251405915,-0.04197227747471828,0.01335203004862238,0.04426838232179347
r5,527,-0.019691130320530208,-0.03999781349599073,0.0008629320672775987,-0.04764095016716905,0.008881202721080287,-0.15747043123000318
dist63hi,527,-0.010092829809403204,-0.03121233818420753,0.011672928542470193,-0.0393957968578316,0.020129349829239536,-0.07319213469333137
dist52hi,527,-0.009662303132541303,-0.030964591025272322,0.011939306726921678,-0.03962825679239778,0.020065294842131744,-0.03928608471795652
rv20,527,0.006769999865210724,-0.019870774860793354,0.03284070090549739,-0.030843126177668614,0.04218554538332647,0.15298057758326833
volspike,527,0.012896451577941571,-0.0019263468710144695,0.027495846392970008,-0.007961258235418985,0.033006893543271236,0.21257466381852314
scorerank,527,-0.009518490741749546,-0.025736007929136526,0.006799721255850689,-0.03175682511186887,0.013696128296199728,-0.14779562688036205
dtc,527,-0.0002086559072010867,-0.0168398307797249,0.016829143654756327,-0.02384955184634681,0.02458933635110204,-0.05937666372934769
