factor,n,meanIC,ci95_lo,ci95_hi,bonf_lo,bonf_hi,coverage
pead_ann,108,0.011777161906089609,0.0003890729401626508,0.02314516869189799,-0.003565459134651189,0.02702257507904231,0.6184442346793666
ins_npr,91,0.0021902317636745884,-0.014201448130284334,0.019525067555818388,-0.01993442392280049,0.02561875928819191,0.4295047811749005
ins_clbuy,91,0.0090849215505232,-0.0032094173540875713,0.02180586193458789,-0.006931300557671725,0.02565405131471971,0.8425897505854535
ep,108,0.045902836434848694,0.01416256457635808,0.07771297912569702,0.003270327336378981,0.08759456220378889,0.670628996044581
bm,108,0.05403261888172993,0.0285669069068764,0.08075496476251512,0.019904475873136096,0.08894092964736157,0.7144129901742903
cfoy,108,0.048230174306612125,0.018447307318091494,0.07682872625182305,0.008223195829285844,0.0875113120267499,0.6972850476510144
