anchor,svr5,svr20,dsvr,base_excess,d_svr5_tilt,d_dsvr_tilt,d_svr5_excl
20230802,,,,,,,
20230809,-0.07390434678767614,-0.13592116332171614,-0.00035749111216245617,,,,
20230816,-0.08809623113308179,-0.11873593329860903,-0.014883074598924826,,,,
20230823,-0.06397069412554619,-0.06610841203530818,-0.00013403597276139662,,,,
20230830,-0.026039857720145963,-0.00971946596652197,-0.05557957318404889,,,,
20230907,0.05854598189435444,0.09550032226877216,-0.017446093223566637,,,,
20230914,0.059092863840277114,0.033425431216503466,0.08430918591986239,,,,
20230921,0.11212285466661645,0.0914091113538521,0.05629494196608507,,,,
20230928,-0.022336999113767374,-0.013388794419808092,-0.0129942214865548,,,,
20231005,-0.07500596771954066,-0.06288055230194443,-0.028929326697712903,,,,
20231012,-0.06990748562096466,-0.061090690513104395,-0.026310584314781088,,,,
20231019,0.015234477049693593,0.005520579705721368,0.019838495215235598,,,,
20231026,0.02276754671933063,0.035534459333469916,-0.006214419826473384,,,,
20231102,0.053911651321741055,0.05343782299024595,0.007832312207245236,,,,
20231109,0.08847313919704092,0.09903886911175457,0.0001992942611225912,,,,
20231116,0.11083800792893236,0.11944162263037193,0.02050338640641456,,,,
20231124,0.13520175667882295,0.13889709192281272,0.027645560700139186,,,,
20231201,0.13584641182788174,0.1181749092057131,0.07607678535297328,,,,
20231208,0.008639509610343437,0.010145316641271931,0.001102193299990118,,,,
20231215,-0.08373908696501403,-0.1128568446850371,0.03033499384041136,,,,
20231222,-0.0967695285017204,-0.1011204959143294,-0.011016198592428363,,,,
20240102,-0.069420481588168,-0.08088911295113915,-0.008766939335607132,,,,
20240109,-0.03387422248580117,-0.002714146767391829,-0.061312123993605874,,,,
20240117,0.013599676858772242,0.02120476504634354,-0.003860645158711549,,,,
20240124,-0.038991860453155884,0.005833914077010866,-0.07375635492817062,,,,
20240131,0.005845649946132748,0.018757285394518305,-0.00945941654715012,,,,
20240207,0.023762154701639518,0.010146865381547465,0.015464187967755559,,,,
20240214,-0.05574348604102654,-0.06467418254354006,0.0038807903759738695,,,,
20240222,-0.0021246433669456803,-0.005114503646062202,0.016482538391552656,,,,
