factor,d_pp,ci_lo,ci_hi,overlap,n
pead_ann,-0.08655534266767251,-0.6580504320717935,0.47175723052872526,0.5005555555555555,108
ep,-0.13029072828298627,-1.275037464154339,1.0025404315447342,0.5001851851851853,108
bm,-0.5399606734634091,-1.82625742908139,0.6976979628054055,0.39555555555555555,108
cfoy,-0.8424214631231678,-2.3089704049426456,0.5175264421320054,0.4033333333333334,108
