anchor,ic,q10_q1_pp
20240610,0.046783937068660825,2.8005079862081206
20240617,-0.08019010450872695,-3.9746129788045357
20240625,-0.06349577715333703,-3.542484142978028
20240702,-0.10706086229067542,-4.868385334171646
20240710,0.006174042342176533,0.5051056317364685
20240717,0.12138619335696019,4.919673879083057
20240724,0.10474841471150298,4.774677721321121
20240731,0.15275038513188358,4.999689873922246
20240807,0.07475454203434492,1.9098466359926909
20240814,0.09351179546091143,2.804931900211565
20240821,0.05618451869143128,2.5179208550371666
20240828,0.09566258582542073,2.3639892367775444
20240905,0.07380771496893353,1.7231148434720591
20240912,0.061358978069657295,1.6031094229248095
20240919,0.07789660722959182,1.5426389327573664
20240926,0.051686993224105325,0.7139647807201872
20241003,-0.005915416685334116,-0.36832690828196984
20241010,-0.0493800073228729,-1.8647250601389997
20241017,-0.005710353644151263,-0.6174566441437299
20241024,0.013131849744402572,-0.050465556260097244
20241031,-0.020801853775152188,-1.4788385153188297
20241107,0.044468564418385155,0.3615054287117978
20241114,0.025105076319610925,0.906185369544423
20241121,0.06221970738044617,2.278362700742784
20241129,0.07604273217016043,3.287561239879894
20241206,0.06277590775670744,0.8822134137442137
20241213,0.06775678404486112,2.8330308493802536
20241220,-0.01603957425417535,0.21603940626782128
20241230,0.023517895005916032,0.9221577885889041
20250107,0.01909667167841202,-0.21424886677891508
20250115,0.039745466996105434,1.0037909048687086
20250123,-0.004150957263261049,-0.04754698782596864
20250130,0.007089383006967737,0.3548033943080342
20250206,-0.022163379534395712,0.320142229681214
20250213,-0.02984337593142287,0.012695970815251867
20250221,0.037924777977999174,1.6740009138863892
20250228,-0.03551063283247814,0.18544424091250025
20250307,0.06828192957285846,2.042376306369363
20250314,0.08497808480830739,3.6327704837098835
20250321,0.05707992241768189,1.8080512864454377
20250328,0.06275736550275048,0.9749824954449702
20250404,0.003953853144809354,-1.765981867727774
20250411,-0.019141260213921565,-0.5925015891114425
20250421,0.012214914879568774,0.6913494646268337
20250428,0.007730099431441201,0.7430760259131128
20250505,-0.0071414361974225325,0.9959010352703592
20250512,-0.0016994068678595447,0.7957951575309742
20250519,0.015520125451057255,0.4343671233165574
20250527,0.008305019507833302,-0.021526437106789142
20250603,-0.05655674416275413,-1.8064415391199053
20250610,-0.04420660306582864,-1.5757091132812318
20250617,-0.04300220193123765,-2.5436467594196577
20250625,-0.08161964101946487,-0.23130215587376032
20250702,0.016587305791507606,0.7840847156710868
20250710,0.0635360754986859,1.4679796963423641
20250717,-0.0011686411146981178,-1.7602899183073388
20250724,0.03089517964513907,-0.4621460668029601
20250731,-0.04073445390220569,-1.9746646975170394
20250807,-0.07328831553285445,-2.7053436755750733
20250814,0.006771899159189386,-0.8735650627685155
20250821,0.006386933534223946,-0.46553865068339334
20250828,0.009675118261214163,-1.5086692351487931
20250905,-0.003796597651055651,-0.4139844447143673
20250912,0.008904400400829847,0.6508024033268625
20250919,-0.03382043760733466,0.6866741146229722
20250926,-0.015227013212893705,1.961224690842319
20251003,0.028489455121080254,3.364120172650954
20251010,0.04323415456933767,4.459641709003385
20251017,0.06678208346460149,4.925498340808398
20251024,0.06532572422315658,4.151585363553165
20251031,0.04883150487766602,2.096027379013231
20251107,-0.02213354429242047,-0.9037421989560358
20251114,-0.04635788340438354,0.586643264480867
20251121,-0.01440180052230191,0.8885274426368654
20251201,-0.007769584334053839,0.5502840221716909
20251208,-0.0074744069835342075,0.4761846364173594
20251215,-0.10501426196146721,-2.291124939403389
20251222,-0.0889018658070294,-0.49299120671556507
20251230,-0.03927732901702273,-0.0829466776627992
20260107,-0.00160656464767885,-0.9640149547644229
20260114,0.0322307767971942,2.002882461039632
20260122,0.018255181880904612,1.2471230466808279
20260129,-0.01086831660365003,0.3922290534865154
20260205,0.018026253892024727,1.742825498595248
20260212,0.07052338720407174,2.0931250853967036
20260220,0.06584981948581502,-0.2144016371567803
20260227,0.03018447711299092,-0.5753488654965013
20260306,0.01019990023012629,0.506002673690729
20260313,0.0025478989014952372,0.6949422039349507
20260320,-0.022443170305569762,1.1329154172625353
20260327,-0.005395636911016332,2.4960178035772107
20260406,-0.004875460642441699,2.295578790414528
20260413,-0.0013248460827047016,3.4899090990562294
20260420,0.049479186381626516,4.756752499737367
20260427,0.0324131349801988,2.425375395219843
20260504,-0.01379816275885755,1.6393563626144352
20260511,0.024816227046077017,-1.441996137650574
20260518,0.01760037059342673,-0.3997783484585349
20260526,0.03624271519186352,-0.9211878119855049
20260602,0.03917102226180357,-0.9282471599267366
20260609,0.04771724590132449,-2.39936123286581
20260616,0.016989273237216593,-1.3272790908564072
20260624,0.0345733295045266,0.46150716556294286
20260701,0.07916058651151735,1.3464733332293546
20260709,0.03421813641710168,1.1108321109627612
20260716,-0.009692596054571704,0.6082710574227115
20260723,-0.06025113741073645,-1.2367631558848242
20260730,-0.0842073264712247,-2.0774342599000133
