anchor,uni,spx,base(mus_v0 top50),base top10,emom(sue+mom+up),qvm(bm+roa+mom),hi52(prox52+up+size),resmom(잔차mom+up+size),insclu(임원클러스터 EW),insclu∩>200MA,small(하위半 mom+up),indmom(상위업종 내 base),qlv(roa+cfoy+저변동)
20240506,-0.011613757535632116,0.021348225228733586,0.004228659472537841,-0.018044040026750096,0.020416223643498283,0.0017746822604684186,0.0028939626020134334,0.0013149757556021613,-0.01361840687523064,-0.015470014797123642,0.03227124680255838,,-0.011754090349928626
20240513,-0.021270003437647792,0.02947472232581605,-0.015079483967971284,-0.029497042930791716,-0.00045897788451765954,-0.012254649269961386,-0.005007889364502857,-0.015312735603621903,-0.0024845997880241747,-0.006536198677614936,-0.016706111505260232,-0.07787066238753299,-0.008127914351958844
20240520,-0.0463901493155252,0.0337030001701768,-0.031139532132055087,-0.03745427998593792,-0.013647386738399285,-0.044861391925831294,-0.013248206130849184,-0.020776760258791303,-0.0383090810761573,-0.036665933360001284,-0.022674360823764585,-0.01466375462279359,-0.03284353095705527
20240528,-0.02845100165182677,0.0323894772779767,-0.017794774900245364,-0.014932943496089257,-0.011748407978211209,-0.04921366775949748,-0.022507810029194993,-0.007502570241204987,-0.024479617868568265,-0.021107917681518585,-0.01346524135051025,-0.016078607976734494,-0.015657610055793053
20240604,-0.009715082102416145,0.046430617392954066,8.917200331930885e-05,-0.03266856879574803,0.0034370214925840024,-0.004470878272366259,0.008674878511293803,0.03921412813908447,-0.0035164996317802663,-0.0019677766163366923,0.00718281883554315,0.04082172635280962,0.009987963425850873
20240611,0.02834180859077105,0.038922375167538714,0.031938456208295,0.0188654632368755,0.041280534920373174,0.03995711854801404,0.009400403829591664,0.033886629021981855,0.0526565004215149,0.04581006138174038,0.04383190919710059,0.08252931897032716,0.012918300318338101
20240618,0.0571253105751369,0.010490203415600918,0.027671110803490242,0.03179437205585992,0.035163260705936804,0.0409726188241191,-0.01662097758164457,-0.02303250192525684,0.0959720667483625,0.06228259328965732,0.07431102965447157,0.11623851533262979,0.03586378064371426
20240626,0.05953057316442328,-0.014363111576087162,0.02063039723360425,0.05378969401863719,0.0405017148635259,0.049638534303358045,0.003043289294847351,-0.034394757410796985,0.12744600210119153,0.10056398763507234,0.06402969496482722,0.1322979338263099,0.019678150658384814
20240703,0.0420908777716475,-0.01631560720953429,0.03028179486535752,0.06527513214555006,0.04665018234595955,0.02211784207370575,0.009342552504009338,-0.005350877445150417,0.07942766045720381,0.08952907050787702,0.030815055628785566,0.08903773734813909,0.01320906952874686
20240711,-0.031133229967380195,-0.047493612475428715,-0.014466839691607874,-0.04513440853415224,-0.00934803011866,-0.03943693288070139,0.011217456358292523,-0.027043786024712038,-0.032897700230478194,-0.002545840918073464,-0.022454706088169588,0.021754575478159243,-0.012500060065927587
20240718,-0.02747126427451972,-0.00024702077968741243,0.01572054406519541,0.04178751903710097,0.01609744367644932,-0.016700641674611036,0.017091654631187322,0.02737787560901758,-0.04815671511835269,-0.03490514206474233,-0.024292466245702825,0.0051579553005771705,-0.01518071288158874
20240725,-0.019297374740418434,0.03174901468247682,0.07085832263410378,0.07320660188130011,0.04987721064735387,-0.014059620556999431,0.0485379000184661,0.08526654867909324,-0.058719543013459885,-0.030111505029875932,-0.01905500233421739,0.031076479335254464,-0.014782881427288288
20240801,0.009603775257913227,0.026673089013421247,0.049375856556212606,0.01973001675735825,0.040316167834791604,-0.010442173924086015,0.036856324819751776,0.04895239419476996,-0.005092361939465423,0.030267906147590992,0.028195218210183674,0.05168157702863102,0.007657119332677273
20240808,0.008244215024340315,0.01675214685733284,0.018474887734030672,0.00877334936075439,0.03010233161231184,0.0172965282562794,0.03918211164028209,0.029372901217221865,-0.0109981986782351,0.008468023879097656,0.013195737716687804,-0.0017933848203040893,-0.007067949265825105
20240815,0.020769476862832006,0.014937130671045074,0.014942288357966526,0.018575876356180687,0.05018666393968497,-0.007298885185301613,0.041569609316728984,0.034380675283301076,0.011286434147049357,0.03148979597041047,0.07331969560747031,0.01954069232907714,-0.009600905308800686
20240822,0.026741947823619463,0.023679445221971962,0.040811775027094016,0.015359475944096201,0.044290559000402505,0.00607356443160685,0.028299627645947182,0.03633291471002305,0.01720290360295173,0.03390952452009763,0.0561464095046277,0.05581878520368457,0.01101870351899094
20240829,0.015536989317243904,0.026146460625406043,0.026762685137015244,-0.015924757672563128,0.029110191086531092,0.008472959419336646,0.003657365600735769,0.021064460836129083,-0.015402928886193129,-0.03590412726433423,-0.04100664920575591,0.02316122210028423,-0.005150826202583995
20240906,0.0548833275662565,0.06335489982163955,0.06934572779532436,0.0874206148892654,0.06975507068045919,0.06572960009325157,0.008824483201927158,0.0490616505610811,0.034640492355572206,-0.0013023315489605158,0.036173521916555054,0.05827594320971562,0.05703721161793467
20240913,0.023305050492116286,0.03359564398435033,0.025154810449890458,0.11115926414838881,0.07466934760880034,0.020531351505924347,0.011956475159796863,0.013007674582836306,0.018825933665460873,-0.026373644794188945,0.051038231392476235,-0.009763904257913616,0.04349565414551318
20240920,0.026387051428606107,0.02842940837697494,0.03206542593522909,0.04786188601344241,0.057007450762975455,-0.0031856377630611974,0.03388532634556868,0.03498046496505895,0.02287417211597218,-0.00344320327663503,0.03603786415523026,0.03652748927241836,0.013510849897543793
20240927,-0.00588066401553908,0.012190331806982035,0.013430454610006897,0.01845656011579927,0.03822247299657324,-0.03278810634424218,0.004580454718823077,0.013109591153456454,0.006427891691848514,0.02025736313844275,0.04060087821671532,-0.00026229669997861026,-0.0030060490044420394
20241004,-0.008631565918591854,-0.003872326403944415,-0.010332582769374786,-0.011176949546740733,0.014688081232613613,-0.04625753602633205,-0.003132296015879528,-0.004995631750938891,0.0163651822312187,0.011137507751502674,0.04414443736872919,-0.002657903821071228,-0.031112966122752987
20241011,0.04399765575954952,0.031042017079092155,0.07970094882581007,0.12309631956419373,0.12214771321799671,0.027739641051309175,0.07383528667544724,0.07168421215593053,0.10703110763232727,0.09893551173661894,0.10645912594181903,0.051818035903612295,0.009675178429123195
20241018,-0.009682136673887188,0.0010145831550223416,0.03622298845111362,0.1193287627244086,0.06279765505534306,-0.01943216273957346,-0.001516009402393952,0.036282058893459646,0.04943160367717164,0.03991354780253646,0.0305359272029851,0.0016907729608336486,-0.0006271358099598312
20241025,0.05076022874654181,0.027757643318259806,0.1174716527651799,0.20974423942238593,0.15628092907083543,0.05261087008987254,0.12903540846758815,0.0981133117246899,0.1144222882051007,0.09183498187471302,0.101301039074932,0.10218574416655585,0.0382020923110852
20241101,0.07941265646724018,0.05557012088217239,0.13445677922253563,0.30682354406970824,0.16769086745386283,0.09161724201992907,0.10743863356914624,0.12034563033704085,0.11783983460103362,0.15531828781255105,0.13847414407538286,0.10782539828158817,0.06250319160541629
20241108,0.011820188413630502,0.009558781731146881,0.005781050443222517,0.05467846190213375,-0.02525848800161331,-0.002519570235065156,0.03386480892768329,-0.001982612129962238,0.04550090627606412,0.016484618380198948,-0.00012172797326362561,-0.00833215725986057,0.0022606939959658456
20241115,0.03282202070663559,0.03465732015972689,0.03998022178182092,0.07279679169351089,0.019676001644370014,0.01652665255168203,0.0286325063828279,0.02510369516432584,0.12493005844890892,0.040225403912375265,0.07279534886641964,0.022862957945039078,-0.010206666898306984
20241122,-0.04033989001913098,0.0007923791562483018,-0.06080368888715693,-0.020574592717223915,-0.09880782273862264,-0.08751051009335231,-0.05540095469403379,-0.06111870981215313,0.014385094846852353,-0.05532047059530125,-0.037321570934222725,-0.07935839364368241,-0.05837589289543755
20241202,-0.05696366827381555,-0.02737157540399282,-0.07732067280910271,-0.06117667269375911,-0.09260471935321091,-0.08530939128015252,-0.042035935975832925,-0.07372350469367747,-0.01827684707249586,-0.07172320811471096,-0.03180917934073736,-0.09167521796189666,-0.03872387376019728
20241209,-0.049970902696383886,-0.022237474162522086,-0.03501111291417096,-0.039737680572061465,-0.029150805558897236,-0.07828547719268746,-0.038491734252733355,-0.03089222385824984,-0.04355342128782037,-0.04612686614924554,-0.019604002615322552,-0.03594822235505557,-0.01190469547829322
20241216,-0.024005162735528503,-0.022512089504294175,-0.009638174670741543,-0.012186550974132904,0.027482967168233438,-0.02185535509083458,-0.036193990203205156,-0.008665648844957552,-0.014052631152681584,-0.03437008239089282,-0.016314120610135072,-0.012017465970607974,0.0422734550261678
