rule,n앵커,평균수익%,vs기준%p,CI_lo,CI_hi,평균보유일,발동률
h40,88,6.522,3.325,1.763,4.925,40.0,0.0
h60,88,8.679,5.482,3.146,7.844,60.0,0.0
RANK100_60,88,6.847,3.65,2.192,5.14,39.005,0.669
RANK300_60,88,8.003,4.806,2.851,6.657,50.907,0.404
