anchor,base_excess,ins_all_nbuy,ins_od_nbuy,ins_od_npr,ins_od_buyusd,earn_pred,mcap,d_ins_od_nbuy_tilt,d_ins_od_npr_tilt,d_ins_cluster_bin,d_ins_sell_excl,d_earn_excl,d_earn_tilt,d_size_mcap,spx_above_200,vix
20240506,1.5842417008169956,0.01050751956876904,0.008916049643177772,0.026609167915601854,-0.05652977556071887,-0.04720807672190501,0.08133950843912872,0.0,0.0,0.0,0.36842308070102814,-0.21728522483721638,0.0,-0.3301244061012636,1,13.489999771118164
20240513,0.6263957237306469,0.013147813496574977,0.01588029442248763,0.016046819267461043,-0.03336167538699607,-0.013744693820798296,0.08526778130929095,0.2797431112251137,0.39737101137960107,0.2797431112251137,0.8945703865332187,-0.13757398769046036,0.3275248628888311,0.06717364496645739,1,13.600000381469727
20240520,1.5250617183470105,-0.015410272042755399,-0.008107708481103367,-0.04075354379742141,-0.114674879876421,-0.001975830671288232,0.1662933993132164,-0.2307151799422879,-0.01337610192219292,-0.041757113489712325,0.44641339047174733,-0.1975691065307112,0.26707087258753504,-0.05570868948439299,1,12.149999618530273
20240528,0.9013860533192302,-0.010385988350710997,-0.006380583464293332,-0.023384783140526284,-0.0635337675150543,-0.01989755334031836,0.16827725889517353,-0.11838346987672888,0.1362019805678894,0.10943808289493144,0.5102411970814437,0.11530728157036693,-0.09920737240227302,-0.6006239436912246,1,12.920000076293945
20240604,1.5353988650069348,-0.009127764703322428,-0.005049191763402969,-0.032568001484395585,-0.09890965196814963,-0.01728816456135452,0.11550988031149863,0.054215615274086706,0.12899217615167502,-0.07176999371088554,1.5145496312857232,0.0,-0.3711511772178541,-0.8259685476722893,1,13.15999984741211
20240611,0.21465937285416492,0.028545357888655722,0.040494475560584095,0.04652789006351528,-0.002639945316936285,0.003182088676477637,-0.014071060102009815,-0.13363307556425003,-0.03549509790515583,0.11076276486546299,0.49545289983572577,-0.1621055118715669,-0.7245799680460894,0.03744461647801345,1,12.850000381469727
20240618,-2.945419977164665,0.09566556976655118,0.09998127377810162,0.13358734879710393,-0.07125516542629409,0.012208489994123172,-0.2496127805071306,0.1016319705971637,-0.14601375543622475,0.11049670911334429,0.8563046849859521,0.10497987493432379,0.1656553196860155,-0.23332059184059603,1,12.300000190734863
20240626,-3.890017593081903,0.11352200814547406,0.1234359591660893,0.15725765958231097,-0.07732652216720652,0.05290996931832902,-0.3368708110850817,-0.395940595526394,0.2514635586531221,-0.6439968756331473,2.667942132819131,-0.7379236627999087,4.832115526646657,-2.199660616220285,1,12.550000190734863
20240703,-1.0071541985972736,0.06823858869425235,0.08121157449490687,0.09967643854156857,-0.059910734187976586,0.11555654989819543,-0.1908215261145396,-0.15998114108609873,-0.33072632034199456,0.238576055460938,0.5259370649719208,-1.6112741383841105,2.2689441581681504,-0.8446181609739596,1,12.09000015258789
20240711,1.1783556768451287,0.006865540073820234,0.011439680268961295,0.004584503772241979,-0.04105853496097398,0.11805163999452674,0.06798406206035237,0.4014978824409267,0.5774524613385186,0.8266491773420721,0.5916212826213687,-2.2253719740909017,0.5126405871159037,-0.5031402589293947,1,12.920000076293945
20240718,4.84937694820807,-0.04186374890108464,-0.050874856873110545,-0.08734928523683354,0.03133080839453993,0.025504113269185856,0.19298480000589163,0.05821523845264513,-0.22768247619997725,-1.8595547589054864,2.3259073553107648,-2.3279817146594617,0.30712398906060057,-0.7621887030340387,1,15.930000305175781
20240725,9.117160068636581,-0.05899981841712111,-0.07404055044340353,-0.12490639333678728,0.03845625286303253,0.0022230270906507385,0.3393538211591614,-2.1819755532831118,0.539523736086349,-3.366723469653536,-1.1437742778831486,-3.1905696610184076,-1.4346883442879572,-2.409494095057708,1,18.459999084472656
20240801,4.338973831457144,-0.015711596959614337,-0.011421899962172782,-0.04966074312040623,-0.011445196869551111,-0.050561877512148114,0.14106019240850878,0.4753182988780351,0.20101591894610346,-0.7961501473381961,-1.177784048468402,-0.6575239636179154,1.1086676794781056,-1.0538528247274006,1,18.59000015258789
20240808,0.8640624198295757,-0.00022266674108231438,0.004058303574316227,0.005620482657569966,-0.1288526389120075,-0.030377957593111793,0.0672996149190101,0.808189812607546,-0.5763081440069114,-0.31432259686267877,-0.39498163456376695,-0.8025186365178781,1.2119559971883065,-0.6686690949338023,1,23.790000915527344
20240815,-1.1190760894766818,-0.00712594112784155,0.008751643681792907,0.005879648976327097,-0.04454811442581469,-0.03836626931092307,0.007684774702463791,1.8071319999441806,1.5906603673563637,1.73216537142184,0.29612896231508945,0.6812520125819476,-1.7096439537518124,0.7845553140215018,1,15.229999542236328
20240822,1.2146156942157735,0.006033162316754635,0.02042876948328415,0.010313469204227436,0.04958258154384064,-0.03459872719509845,0.020102260569261333,-0.21128941461858244,-0.5138352763820825,-1.0165549043393396,-0.13028189415738856,0.0,-3.6515360685621037,0.06303175449265952,1,17.549999237060547
20240829,0.790738925592214,-0.06774902684123639,-0.05200430062855056,-0.05671231276891276,0.1646553849937413,0.021497504449697856,0.19911613226180777,0.5870143275638346,0.9036687481601788,-0.7340736726086372,0.9264578541161715,-0.38509460058173095,-1.081507257629952,-2.335183993829898,1,15.649999618530273
20240906,1.3190505296461688,-0.0330064916476675,-0.025422485946278908,-0.05562895054040678,0.13317967062549885,-0.015192094297640658,0.08415447254484923,-1.2724522426313474,-0.7919344333959182,-0.5511685093659013,0.48959319517154487,0.09698998959909444,-0.8361648231813672,-4.284338718407856,1,22.3799991607666
20240913,0.7658725131173744,-0.030796540240017607,-0.021959133629264885,-0.05174198157666051,0.22712928863717294,0.0077174959061960206,0.12757129215638174,1.09029123138746,0.9099777646989056,0.3141171987794733,0.34085102082971885,0.038199573703300016,2.5190930188271428,1.0641668567714646,1,16.559999465942383
20240920,0.7245119003220526,0.008984897252901925,-8.135260647717033e-05,-0.030454385109349624,0.027252772199104033,-0.0013289571348848136,0.04718399731207841,0.9172398600711049,0.8334357563914034,-0.7062278231769952,0.6257748858354152,-0.14893864626943087,0.8464912951014515,0.2521620686589239,1,16.149999618530273
