date,ew,mus50,val50,vm_inter,vm_sum6,vq_srt
20240610,-0.21260123107745446,-1.8465705532859806,-0.0961721991839064,,-1.8465705532859806,0.16244610095779377
20240617,7.305649455925356,6.580796938709171,7.179669832515876,,6.672040188389293,7.2452938728993335
20240625,4.982865053143557,4.757286803014342,4.075476357799712,,6.496820033669919,3.7230154112889435
20240702,7.140148633740457,5.461150423562778,6.684219014491631,10.422448250118192,6.589374520176506,9.661109466116288
20240710,-2.4826694417729356,-4.487594780826717,0.7695050324192687,-0.1221020863874125,-1.4151819020953478,0.27821849347668137
20240717,-6.152037432014735,-1.2460395801098545,-3.256689492147771,-2.827071771817957,-5.2468496925168,-3.7461456347398814
20240724,-0.24354040686336903,9.102373825030176,1.522815381587814,1.4133804183797711,0.334389257085149,0.6051868446217503
20240731,-2.0421179691002935,3.4517384591203277,0.8163267890264583,-0.3285925387073847,-0.7238120289605046,0.47556110551993763
20240807,4.6501134213266955,6.976845418735903,6.638676638836982,6.484867782265086,6.915187978109147,6.560022545838002
20240814,2.1619810510839055,2.0677536408061132,3.2194607066570793,2.8533069444584904,1.1802660076054765,1.7779281579929318
20240821,2.6676202454756983,3.4732451192806213,4.406738904078214,4.888822598074372,4.828703958960901,4.782742004969867
20240828,1.707140971335606,2.580868961397168,2.652181897869554,1.2718750287290412,-0.03610041604793768,1.5540170427288476
20240905,2.56710085797567,3.9158317021517175,3.0587378550084563,2.397421095884848,2.3125060968961546,2.3369570294606565
20240912,2.590355400876969,2.7025940431326685,2.9857942694580397,5.0107812992140515,5.5754240250393945,3.0073573298590683
20240919,1.3040008638451674,3.948556642594492,1.0218674481458065,6.110092410643716,3.5608676264943053,1.521277537191641
20240926,0.3308475655631939,1.558264679854661,-0.6752087251593242,4.089122361435917,3.189341923098219,-0.3745227910649154
20241003,0.1555386239260322,1.1125217005639478,-1.5904437994319547,1.3700648480690996,2.605023183342068,-0.9106356396679444
20241010,5.6442532656309305,7.445591910190472,1.3576963772876942,4.403720502425812,6.855975511074377,1.2750103711027212
20241017,0.720023641566136,4.0982136529606885,-2.1537461733401164,2.372382223852433,2.2778584441389116,-1.6069252740942512
20241024,3.340030626757942,9.898478006808599,0.3429338171620815,6.192196708256077,6.378710895791749,1.170038237429717
20241031,8.053452486009537,14.068577627643746,2.436905835892579,10.671433505098284,10.554339624813807,5.436013791921209
20241107,1.5909547314732682,5.5337361537716605,-1.4939448908082038,3.949281948623147,2.685735184544844,-0.8463454002684685
20241114,1.6325523255751935,3.00661967905834,-1.1024022942455083,0.5287920927257383,0.01778953476286338,-1.8508077742766023
20241121,-3.042191674245957,-4.867724190901061,-2.2766816306252693,-4.635796874618403,-5.097434234860603,-3.993666778185488
20241129,-5.63266023804106,-8.095168544189958,-3.5386315155916774,-6.4305482363356345,-7.383928758149935,-5.13942852821496
20241206,-4.111772229692296,-6.980978860455228,-2.067656896557808,-4.452032581508452,-3.519260006776374,-2.6428757231044933
20241213,-2.4912252691744077,0.6653610173039533,-0.802616053705075,1.3841703204572766,0.8544337661074702,-1.0298723306684243
20241220,3.2699520475024224,8.249118491861953,1.8592752098157788,5.641052979771152,5.542574790085762,3.787118889798818
20241230,3.113961119706132,3.9623727664022232,4.171575922784891,4.685590760772864,5.231983047711533,2.942979914921975
20250107,1.6618270805707638,4.210003452765849,1.5435542278943497,4.6633022529582195,3.9281838657538595,1.9662510570740244
20250115,1.6878622395684484,3.8179610991446102,2.0132055691088366,0.5402932957117668,0.4862299178096014,1.1253558752442496
20250123,-2.7465615006517576,-9.412979468422384,-0.6115686903669908,-3.5757051293599207,-2.635800388325316,-1.255808295049283
20250130,-5.160481493925694,-9.568232812086723,-1.260010962318007,-2.1668503836800292,-1.6915163194286889,-1.8082269101526531
20250206,-7.495491365431704,-20.703754768669395,-2.992739909635252,-8.980954277276158,-9.061592864162453,-5.435707626824666
20250213,-9.050767458128355,-16.93538763306729,-4.701513390161261,-8.467573697004383,-8.475898938482645,-6.579995321995716
20250221,-5.499018356810252,-11.265760655077399,-3.2153923131963142,-4.2557435493494875,-5.655748091171999,-4.6414748966776616
20250228,-5.751218503587015,-11.467879648902223,-4.468896316436701,-5.758711867689324,-7.471078735378998,-5.916958354431708
20250307,-12.45745544575271,-15.222977366685765,-11.407673364761873,-8.44014139799035,-10.538336039526424,-11.541347165448473
20250314,-9.038615745291589,-8.525627602818988,-10.2068788481073,-3.553570163799501,-7.150840868791383,-10.10809182841103
20250321,-9.957112525259967,-9.980162546988828,-9.951889420204239,-6.956177340432557,-9.277955561316857,-11.30925680717427
20250328,-2.6309628611528337,0.5023094274759348,-4.63907121194331,0.8296246965995444,-0.6432316910275213,-4.167434114954512
20250404,9.582506200595137,15.790395333355978,2.8908442468323075,10.290070760523356,12.228911881952445,6.801541300924028
20250411,11.960413001049627,8.27072292493922,6.54191966093318,9.530733885525002,11.592687729750113,8.842542987673799
20250421,14.041064962531252,13.52001985792418,6.5422538559042245,12.954535432212635,16.318229888667766,8.678601542922642
